date,geography,geography code,"Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language",Household language (English and Welsh): Total: All households
2021,Croydon 044B,E01001019,565,17,2,9,593
2021,Croydon 044C,E01001020,607,16,8,11,642
2021,Croydon 044D,E01001021,495,22,8,19,544
2021,Croydon 044E,E01001022,590,17,4,9,620
2021,Croydon 041C,E01001023,943,67,24,85,1119
2021,Croydon 043B,E01001024,489,18,3,13,523
2021,Croydon 043C,E01001025,459,19,4,10,492
2021,Croydon 043D,E01001026,629,21,8,12,670
2021,Croydon 043E,E01001027,856,58,29,47,990
2021,Croydon 038A,E01001028,458,58,6,20,542
2021,Croydon 038B,E01001029,514,54,11,58,637
2021,Croydon 038C,E01001030,426,37,9,22,494
2021,Croydon 038D,E01001031,456,37,6,18,517
2021,Croydon 035A,E01001032,504,32,8,12,556
2021,Croydon 031A,E01001033,552,45,22,62,681
2021,Croydon 031B,E01001034,558,44,11,52,665
2021,Croydon 047C,E01001035,663,61,25,89,838
2021,Croydon 029A,E01001036,570,47,10,34,661
2021,Croydon 029B,E01001037,572,34,19,57,682
2021,Croydon 029C,E01001038,778,68,47,56,949
2021,Croydon 029D,E01001039,526,38,16,16,596
2021,Croydon 029E,E01001040,611,46,17,70,744
2021,Croydon 031C,E01001041,585,46,26,70,727
2021,Croydon 024B,E01001042,655,90,49,150,944
2021,Croydon 023A,E01001044,611,77,43,104,835
2021,Croydon 023B,E01001046,526,65,62,146,799
2021,Croydon 047A,E01001047,636,64,28,119,847
2021,Croydon 023C,E01001049,428,44,10,38,520
2021,Croydon 023D,E01001050,605,58,30,98,791
2021,Croydon 030A,E01001051,480,33,17,35,565
2021,Croydon 030B,E01001052,392,38,12,14,456
2021,Croydon 032A,E01001053,468,43,11,15,537
2021,Croydon 030C,E01001054,514,43,13,23,593
2021,Croydon 032B,E01001055,521,28,5,21,575
2021,Croydon 030D,E01001056,468,48,27,33,576
2021,Croydon 030E,E01001057,505,43,26,28,602
2021,Croydon 034A,E01001058,476,25,14,11,526
2021,Croydon 034B,E01001059,612,23,10,23,668
2021,Croydon 034C,E01001060,580,35,11,18,644
2021,Croydon 034D,E01001061,573,45,6,27,651
2021,Croydon 026A,E01001062,482,44,6,25,557
2021,Croydon 026B,E01001063,514,31,10,22,577
2021,Croydon 026C,E01001064,546,34,9,25,614
2021,Croydon 034E,E01001065,594,24,5,27,650
2021,Croydon 034F,E01001066,442,47,14,22,525
2021,Croydon 041D,E01001067,533,31,4,9,577
2021,Croydon 042A,E01001068,691,30,10,22,753
2021,Croydon 040A,E01001069,458,24,9,17,508
2021,Croydon 040B,E01001070,568,51,5,22,646
2021,Croydon 042B,E01001071,659,40,9,18,726
2021,Croydon 042C,E01001072,490,26,5,18,539
2021,Croydon 037A,E01001073,498,40,12,32,582
2021,Croydon 041E,E01001074,717,44,16,39,816
2021,Croydon 040C,E01001075,565,37,14,28,644
2021,Croydon 036A,E01001076,501,34,15,18,568
2021,Croydon 032C,E01001077,454,33,10,20,517
2021,Croydon 032D,E01001078,433,34,8,33,508
2021,Croydon 036B,E01001079,537,27,9,12,585
2021,Croydon 036C,E01001080,517,23,10,34,584
2021,Croydon 036D,E01001081,441,22,18,12,493
2021,Croydon 032E,E01001082,466,29,12,17,524
2021,Croydon 003A,E01001083,392,91,13,49,545
2021,Croydon 002A,E01001084,506,77,27,56,666
2021,Croydon 004A,E01001085,403,94,26,124,647
2021,Croydon 003B,E01001086,429,80,8,70,587
2021,Croydon 003C,E01001087,752,106,41,233,1132
2021,Croydon 004B,E01001088,435,71,16,53,575
2021,Croydon 004C,E01001089,431,84,29,101,645
2021,Croydon 004D,E01001090,619,87,42,137,885
2021,Croydon 004E,E01001091,418,70,16,58,562
2021,Croydon 037B,E01001092,588,58,15,39,700
2021,Croydon 037C,E01001093,577,73,9,52,711
2021,Croydon 038E,E01001094,493,44,3,25,565
2021,Croydon 031D,E01001095,497,43,9,46,595
2021,Croydon 037D,E01001096,470,36,6,22,534
2021,Croydon 037E,E01001097,966,71,32,101,1170
2021,Croydon 037F,E01001098,478,39,8,8,533
2021,Croydon 040D,E01001099,519,38,12,33,602
2021,Croydon 031E,E01001100,531,40,4,27,602
2021,Croydon 035B,E01001101,474,19,5,8,506
2021,Croydon 035C,E01001102,592,21,7,13,633
2021,Croydon 039A,E01001103,604,24,4,12,644
2021,Croydon 042D,E01001104,581,26,12,23,642
2021,Croydon 039B,E01001105,571,36,5,13,625
2021,Croydon 039C,E01001106,517,31,8,6,562
2021,Croydon 035D,E01001107,577,44,11,36,668
2021,Croydon 035E,E01001108,588,37,2,16,643
2021,Croydon 013B,E01001109,749,72,36,106,963
2021,Croydon 020D,E01001110,651,82,48,112,893
2021,Croydon 010D,E01001111,492,67,22,60,641
2021,Croydon 013C,E01001112,680,59,27,88,854
2021,Croydon 013D,E01001113,673,68,29,88,858
2021,Croydon 013E,E01001114,445,68,25,65,603
2021,Croydon 015B,E01001115,459,89,17,84,649
2021,Croydon 013F,E01001116,458,49,28,71,606
2021,Croydon 020E,E01001118,676,67,27,110,880
2021,Croydon 034G,E01001119,553,19,3,4,579
2021,Croydon 033A,E01001120,464,24,8,12,508
2021,Croydon 039D,E01001121,503,17,1,19,540
2021,Croydon 033B,E01001122,403,34,10,12,459
2021,Croydon 033C,E01001123,541,33,5,23,602
2021,Croydon 033D,E01001124,554,27,3,19,603
2021,Croydon 033E,E01001125,525,41,8,34,608
2021,Croydon 034H,E01001126,548,28,6,13,595
2021,Croydon 025A,E01001127,528,36,2,17,583
2021,Croydon 025B,E01001128,478,49,19,23,569
2021,Croydon 026D,E01001129,461,26,6,13,506
2021,Croydon 025C,E01001130,422,76,29,31,558
2021,Croydon 018C,E01001131,588,28,21,21,658
2021,Croydon 018D,E01001132,572,38,9,25,644
2021,Croydon 026E,E01001133,664,36,6,23,729
2021,Croydon 018E,E01001134,599,41,17,20,677
2021,Croydon 025D,E01001135,569,40,1,28,638
2021,Croydon 007A,E01001136,770,68,22,123,983
2021,Croydon 001A,E01001137,818,67,10,76,971
2021,Croydon 001B,E01001138,641,40,9,29,719
2021,Croydon 007B,E01001139,602,52,20,40,714
2021,Croydon 007C,E01001140,642,48,17,52,759
2021,Croydon 008A,E01001141,461,32,21,60,574
2021,Croydon 007D,E01001142,619,55,16,57,747
2021,Croydon 008B,E01001143,677,56,20,72,825
2021,Croydon 007E,E01001144,638,52,27,83,800
2021,Croydon 008C,E01001145,688,49,34,101,872
2021,Croydon 006A,E01001146,506,44,8,47,605
2021,Croydon 005A,E01001147,526,50,21,71,668
2021,Croydon 005B,E01001148,595,42,16,48,701
2021,Croydon 006B,E01001149,515,41,30,37,623
2021,Croydon 006C,E01001150,543,53,17,25,638
2021,Croydon 005C,E01001151,501,67,29,73,670
2021,Croydon 005D,E01001152,508,83,46,152,789
2021,Croydon 006D,E01001153,484,53,21,58,616
2021,Croydon 006E,E01001154,522,74,17,114,727
2021,Croydon 010E,E01001155,590,57,24,114,785
2021,Croydon 001C,E01001156,587,58,19,55,719
2021,Croydon 002B,E01001157,476,68,24,55,623
2021,Croydon 005E,E01001158,561,51,20,38,670
2021,Croydon 002C,E01001159,583,78,26,54,741
2021,Croydon 002D,E01001160,432,98,16,83,629
2021,Croydon 003D,E01001161,388,89,17,57,551
2021,Croydon 001D,E01001162,675,61,16,48,800
2021,Croydon 002E,E01001163,687,68,27,55,837
2021,Croydon 001E,E01001164,834,58,24,76,992
2021,Croydon 024C,E01001165,546,67,31,82,726
2021,Croydon 024D,E01001166,690,64,31,91,876
2021,Croydon 028A,E01001167,624,87,33,75,819
2021,Croydon 024E,E01001168,550,67,24,92,733
2021,Croydon 028B,E01001169,530,58,20,31,639
2021,Croydon 047D,E01001170,731,56,32,77,896
2021,Croydon 028C,E01001171,554,57,27,43,681
2021,Croydon 028D,E01001172,569,91,25,45,730
2021,Croydon 028E,E01001173,922,73,44,81,1120
2021,Croydon 011A,E01001174,310,98,29,73,510
2021,Croydon 011B,E01001175,385,72,21,77,555
2021,Croydon 011C,E01001176,400,84,41,95,620
2021,Croydon 016C,E01001177,362,78,33,79,552
2021,Croydon 015D,E01001178,389,45,38,129,601
2021,Croydon 016D,E01001179,338,94,43,74,549
2021,Croydon 016E,E01001180,393,91,55,136,675
2021,Croydon 015E,E01001181,636,83,54,118,891
2021,Croydon 011D,E01001182,277,77,16,92,462
2021,Croydon 011E,E01001183,403,87,37,107,634
2021,Croydon 011F,E01001184,316,60,12,56,444
2021,Croydon 014B,E01001185,626,37,19,62,744
2021,Croydon 014C,E01001186,683,43,30,60,816
2021,Croydon 017E,E01001187,660,54,27,69,810
2021,Croydon 014D,E01001188,620,63,18,45,746
2021,Croydon 045B,E01001189,411,30,5,13,459
2021,Croydon 045C,E01001190,536,35,12,20,603
2021,Croydon 008D,E01001191,686,72,37,68,863
2021,Croydon 008E,E01001192,579,50,13,47,689
2021,Croydon 014E,E01001193,496,41,7,23,567
2021,Croydon 045D,E01001194,539,30,15,32,616
2021,Ealing 021A,E01001195,324,111,20,162,617
2021,Ealing 015A,E01001196,458,80,28,129,695
2021,Ealing 021B,E01001197,420,83,23,193,719
2021,Ealing 021C,E01001198,412,82,20,82,596
2021,Ealing 021D,E01001199,437,90,25,118,670
2021,Ealing 025A,E01001200,465,69,15,81,630
2021,Ealing 025B,E01001201,490,66,7,67,630
2021,Ealing 025C,E01001202,573,154,45,227,999
2021,Ealing 025D,E01001203,556,74,32,193,855
2021,Ealing 018A,E01001204,451,68,21,56,596
2021,Ealing 018B,E01001205,440,86,32,96,654
2021,Ealing 018C,E01001206,317,115,37,82,551
2021,Ealing 018D,E01001207,543,82,24,109,758
2021,Ealing 018E,E01001208,420,48,8,34,510
2021,Ealing 013A,E01001209,513,76,24,40,653
2021,Ealing 016A,E01001210,472,117,47,121,757
2021,Ealing 013B,E01001211,529,80,27,85,721
2021,Ealing 018F,E01001212,530,71,18,103,722
2021,Ealing 023A,E01001213,239,137,30,130,536
2021,Ealing 023B,E01001214,177,137,33,152,499
2021,Ealing 023C,E01001215,234,136,57,193,620
2021,Ealing 023D,E01001216,176,118,59,142,495
2021,Ealing 014A,E01001217,228,112,17,80,437
2021,Ealing 012A,E01001218,361,115,37,209,722
2021,Ealing 029A,E01001219,406,141,56,162,765
2021,Ealing 029B,E01001220,227,119,26,96,468
2021,Ealing 041B,E01001223,445,65,16,107,633
2021,Ealing 019B,E01001224,480,53,10,36,579
2021,Ealing 041A,E01001225,596,76,35,140,847
2021,Ealing 019C,E01001226,474,73,15,108,670
2021,Ealing 019D,E01001227,440,59,13,93,605
2021,Ealing 019E,E01001228,536,107,26,157,826
2021,Ealing 031A,E01001229,419,71,29,75,594
2021,Ealing 031B,E01001230,473,56,6,72,607
2021,Ealing 027A,E01001231,525,107,11,143,786
2021,Ealing 031C,E01001232,432,82,20,81,615
2021,Ealing 031D,E01001233,455,67,9,90,621
2021,Ealing 027B,E01001234,440,67,12,89,608
2021,Ealing 042D,E01001235,509,91,20,160,780
2021,Ealing 042C,E01001236,498,69,21,97,685
2021,Ealing 031E,E01001237,529,56,8,79,672
2021,Ealing 015C,E01001239,362,89,23,91,565
2021,Ealing 024A,E01001240,339,137,14,167,657
2021,Ealing 024B,E01001241,352,118,22,164,656
2021,Ealing 024C,E01001242,418,93,21,80,612
2021,Ealing 024D,E01001243,543,126,48,239,956
2021,Ealing 024E,E01001244,713,160,49,249,1171
2021,Ealing 024F,E01001245,653,105,26,137,921
2021,Ealing 015D,E01001246,543,69,20,186,818
2021,Ealing 015E,E01001247,453,156,35,169,813
2021,Ealing 035A,E01001248,436,70,17,43,566
2021,Ealing 028A,E01001249,668,129,59,234,1090
2021,Ealing 028B,E01001250,669,101,40,169,979
2021,Ealing 030A,E01001251,538,77,30,89,734
2021,Ealing 030B,E01001252,629,106,44,188,967
2021,Ealing 030C,E01001253,571,86,34,83,774
2021,Ealing 030D,E01001254,608,50,20,66,744
2021,Ealing 028C,E01001255,480,52,13,43,588
2021,Ealing 008A,E01001257,500,110,61,139,810
2021,Ealing 010B,E01001258,379,103,44,123,649
2021,Ealing 014B,E01001259,268,75,41,132,516
2021,Ealing 012B,E01001260,376,123,42,150,691
2021,Ealing 012C,E01001261,509,114,51,184,858
2021,Ealing 010C,E01001262,339,82,33,88,542
2021,Ealing 010D,E01001263,476,94,30,136,736
2021,Ealing 010E,E01001264,381,103,32,111,627
2021,Ealing 006A,E01001265,372,99,36,122,629
2021,Ealing 006B,E01001266,336,127,32,104,599
2021,Ealing 006C,E01001267,515,112,52,141,820
2021,Ealing 012D,E01001268,424,94,37,84,639
2021,Ealing 001A,E01001269,451,105,51,187,794
2021,Ealing 004A,E01001270,355,98,44,88,585
2021,Ealing 001B,E01001271,352,122,41,118,633
2021,Ealing 006D,E01001272,319,103,19,149,590
2021,Ealing 041C,E01001273,361,93,18,116,588
2021,Ealing 041E,E01001274,308,84,20,177,589
2021,Ealing 041D,E01001275,638,87,17,165,907
2021,Ealing 011A,E01001276,348,128,43,179,698
2021,Ealing 011B,E01001277,375,111,67,161,714
2021,Ealing 011C,E01001278,418,114,32,236,800
2021,Ealing 013C,E01001279,434,61,16,45,556
2021,Ealing 011D,E01001280,495,88,40,153,776
2021,Ealing 013D,E01001281,503,44,12,59,618
2021,Ealing 016B,E01001282,413,77,41,83,614
2021,Ealing 016C,E01001283,524,69,35,145,773
2021,Ealing 022A,E01001284,399,80,32,74,585
2021,Ealing 016D,E01001285,358,96,33,89,576
2021,Ealing 016E,E01001286,425,86,41,61,613
2021,Ealing 016F,E01001287,281,121,35,65,502
2021,Ealing 022B,E01001288,403,63,18,52,536
2021,Ealing 022C,E01001289,361,55,17,44,477
2021,Ealing 022D,E01001290,555,84,39,118,796
2021,Ealing 014C,E01001291,253,104,45,108,510
2021,Ealing 014D,E01001292,266,111,27,107,511
2021,Ealing 014E,E01001293,294,111,34,128,567
2021,Ealing 017A,E01001294,203,158,49,159,569
2021,Ealing 017B,E01001295,212,149,36,128,525
2021,Ealing 017C,E01001296,187,102,30,96,415
2021,Ealing 017D,E01001297,191,131,39,152,513
2021,Ealing 017E,E01001298,233,162,29,159,583
2021,Ealing 035B,E01001299,507,70,13,54,644
2021,Ealing 039A,E01001300,469,75,10,46,600
2021,Ealing 039B,E01001301,515,116,32,146,809
2021,Ealing 039C,E01001302,480,66,14,57,617
2021,Ealing 032A,E01001303,479,76,27,67,649
2021,Ealing 039D,E01001304,540,72,22,64,698
2021,Ealing 035C,E01001305,515,72,14,33,634
2021,Ealing 035D,E01001306,572,52,19,53,696
2021,Ealing 002A,E01001307,334,103,40,130,607
2021,Ealing 002B,E01001308,395,121,36,134,686
2021,Ealing 001C,E01001309,343,108,51,96,598
2021,Ealing 001D,E01001310,452,119,48,137,756
2021,Ealing 001E,E01001311,614,123,38,179,954
2021,Ealing 002C,E01001312,303,130,36,138,607
2021,Ealing 002D,E01001313,284,116,23,96,519
2021,Ealing 002E,E01001314,306,93,25,87,511
2021,Ealing 003A,E01001315,291,66,33,110,500
2021,Ealing 003B,E01001316,353,113,46,101,613
2021,Ealing 003C,E01001317,411,115,62,139,727
2021,Ealing 003D,E01001318,443,89,47,137,716
2021,Ealing 004B,E01001319,319,79,31,78,507
2021,Ealing 003E,E01001320,379,65,27,75,546
2021,Ealing 003F,E01001321,489,111,52,141,793
2021,Ealing 004C,E01001322,439,123,38,134,734
2021,Ealing 004D,E01001323,459,78,50,189,776
2021,Ealing 008B,E01001324,374,79,51,140,644
2021,Ealing 009A,E01001325,398,97,48,77,620
2021,Ealing 008C,E01001326,448,104,36,87,675
2021,Ealing 009B,E01001327,355,92,39,103,589
2021,Ealing 009C,E01001328,345,102,48,100,595
2021,Ealing 009D,E01001329,382,97,43,118,640
2021,Ealing 008D,E01001330,387,91,50,113,641
2021,Ealing 009E,E01001331,343,91,57,141,632
2021,Ealing 008E,E01001332,358,79,41,101,579
2021,Ealing 038A,E01001333,290,163,43,217,713
2021,Ealing 029C,E01001334,203,118,33,166,520
2021,Ealing 038B,E01001335,270,126,12,108,516
2021,Ealing 038C,E01001336,285,108,31,143,567
2021,Ealing 029D,E01001337,488,123,30,123,764
2021,Ealing 029E,E01001338,237,125,35,138,535
2021,Ealing 029F,E01001339,408,150,49,96,703
2021,Ealing 029G,E01001340,357,90,31,69,547
2021,Ealing 005A,E01001341,293,114,43,139,589
2021,Ealing 005B,E01001342,281,133,46,181,641
2021,Ealing 005C,E01001343,256,95,27,100,478
2021,Ealing 007A,E01001344,492,118,61,231,902
2021,Ealing 005D,E01001345,241,140,43,97,521
2021,Ealing 007B,E01001346,383,118,63,117,681
2021,Ealing 007C,E01001347,355,141,30,159,685
2021,Ealing 007D,E01001348,377,102,35,157,671
2021,Ealing 006E,E01001349,325,72,19,71,487
2021,Ealing 027C,E01001350,396,63,17,139,615
2021,Ealing 025E,E01001351,512,95,27,200,834
2021,Ealing 027D,E01001352,408,83,17,134,642
2021,Ealing 033A,E01001353,419,84,20,111,634
2021,Ealing 027E,E01001354,581,99,33,177,890
2021,Ealing 033B,E01001355,613,101,26,150,890
2021,Ealing 033C,E01001356,369,78,36,147,630
2021,Ealing 033D,E01001357,738,198,32,171,1139
2021,Ealing 033E,E01001358,552,112,36,120,820
2021,Ealing 026A,E01001359,193,187,48,195,623
2021,Ealing 026B,E01001360,204,166,32,150,552
2021,Ealing 023E,E01001361,243,146,51,164,604
2021,Ealing 026C,E01001362,286,202,54,174,716
2021,Ealing 026D,E01001363,152,144,74,157,527
2021,Ealing 026E,E01001364,217,146,43,143,549
2021,Ealing 026F,E01001365,230,206,59,182,677
2021,Ealing 044C,E01001366,185,151,51,177,564
2021,Ealing 043B,E01001367,304,136,49,257,746
2021,Ealing 044D,E01001368,145,147,33,144,469
2021,Ealing 038D,E01001369,201,140,42,169,552
2021,Ealing 044A,E01001370,207,154,38,172,571
2021,Ealing 044B,E01001371,238,169,50,161,618
2021,Ealing 043C,E01001372,288,161,57,191,697
2021,Ealing 043A,E01001373,231,153,43,157,584
2021,Ealing 040A,E01001374,709,92,23,75,899
2021,Ealing 034A,E01001375,578,62,15,52,707
2021,Ealing 040B,E01001376,549,70,19,96,734
2021,Ealing 034B,E01001377,566,58,10,63,697
2021,Ealing 034C,E01001379,588,59,9,58,714
2021,Ealing 040C,E01001380,795,120,27,114,1056
2021,Ealing 034D,E01001381,590,78,20,169,857
2021,Ealing 032B,E01001382,457,54,2,50,563
2021,Ealing 028D,E01001383,481,84,17,70,652
2021,Ealing 032C,E01001384,528,81,17,74,700
2021,Ealing 032D,E01001385,517,63,23,61,664
2021,Ealing 031F,E01001386,594,65,15,80,754
2021,Ealing 032E,E01001387,534,52,21,118,725
2021,Ealing 028E,E01001388,470,59,28,112,669
2021,Ealing 028F,E01001389,506,90,31,131,758
2021,Enfield 036A,E01001390,457,120,20,120,717
2021,Enfield 036B,E01001391,424,89,28,189,730
2021,Enfield 032A,E01001392,452,96,18,102,668
2021,Enfield 036C,E01001393,536,77,36,169,818
2021,Enfield 035A,E01001394,346,137,30,157,670
2021,Enfield 035B,E01001395,351,117,33,97,598
2021,Enfield 036D,E01001396,259,92,20,153,524
2021,Enfield 035C,E01001397,393,128,59,186,766
2021,Enfield 021A,E01001398,428,39,11,20,498
2021,Enfield 021B,E01001399,397,51,20,32,500
2021,Enfield 021C,E01001400,491,41,5,37,574
2021,Enfield 016A,E01001401,394,50,14,43,501
2021,Enfield 021D,E01001402,532,78,19,70,699
2021,Enfield 021E,E01001403,505,68,10,59,642
2021,Enfield 026A,E01001404,372,72,23,48,515
2021,Enfield 015A,E01001405,679,41,25,85,830
2021,Enfield 015B,E01001406,522,51,19,60,652
2021,Enfield 005A,E01001407,500,53,17,23,593
2021,Enfield 004A,E01001408,633,41,11,23,708
2021,Enfield 005B,E01001409,596,85,28,73,782
2021,Enfield 005C,E01001410,598,96,33,87,814
2021,Enfield 004B,E01001411,640,37,13,51,741
2021,Enfield 004C,E01001412,560,56,15,30,661
2021,Enfield 004D,E01001413,562,29,3,15,609
2021,Enfield 004E,E01001414,525,78,31,62,696
2021,Enfield 011A,E01001415,641,81,34,115,871
2021,Enfield 013A,E01001416,482,64,10,36,592
2021,Enfield 011B,E01001417,577,50,8,28,663
2021,Enfield 011C,E01001418,553,67,19,82,721
2021,Enfield 020A,E01001419,560,85,34,89,768
2021,Enfield 020B,E01001420,463,86,19,66,634
2021,Enfield 020C,E01001421,416,70,40,95,621
2021,Enfield 011D,E01001422,555,31,2,27,615
2021,Enfield 027A,E01001423,381,107,29,107,624
2021,Enfield 030A,E01001424,309,58,29,80,476
2021,Enfield 027B,E01001425,386,110,65,178,739
2021,Enfield 030B,E01001426,367,95,37,119,618
2021,Enfield 030C,E01001427,353,116,41,133,643
2021,Enfield 027C,E01001428,336,112,25,93,566
2021,Enfield 030D,E01001429,583,109,72,249,1013
2021,Enfield 030E,E01001430,343,121,62,123,649
2021,Enfield 033A,E01001431,371,98,48,138,655
2021,Enfield 033B,E01001432,433,91,44,164,732
2021,Enfield 007A,E01001433,405,74,40,57,576
2021,Enfield 007B,E01001434,368,72,35,64,539
2021,Enfield 007C,E01001435,326,79,25,56,486
2021,Enfield 007D,E01001436,432,108,38,73,651
2021,Enfield 014A,E01001437,598,125,54,118,895
2021,Enfield 007E,E01001438,361,87,33,67,548
2021,Enfield 006A,E01001439,467,128,56,113,764
2021,Enfield 012A,E01001440,363,75,41,96,575
2021,Enfield 006B,E01001441,433,72,42,76,623
2021,Enfield 002A,E01001442,409,91,38,99,637
2021,Enfield 001A,E01001444,460,80,32,76,648
2021,Enfield 003B,E01001445,823,107,69,143,1142
2021,Enfield 001B,E01001446,506,102,30,66,704
2021,Enfield 003C,E01001447,535,73,28,105,741
2021,Enfield 003D,E01001448,456,92,36,82,666
2021,Enfield 003E,E01001449,393,73,22,54,542
2021,Enfield 015C,E01001450,809,69,49,183,1110
2021,Enfield 017A,E01001451,594,46,18,36,694
2021,Enfield 017B,E01001452,425,37,3,21,486
2021,Enfield 017C,E01001453,569,36,8,36,649
2021,Enfield 017D,E01001454,557,55,9,43,664
2021,Enfield 021F,E01001455,463,47,13,39,562
2021,Enfield 022A,E01001456,432,35,5,20,492
2021,Enfield 010A,E01001457,730,43,15,55,843
2021,Enfield 037A,E01001458,332,114,40,155,641
2021,Enfield 024A,E01001459,316,116,35,92,559
2021,Enfield 024B,E01001460,347,107,42,174,670
2021,Enfield 027D,E01001461,387,78,37,125,627
2021,Enfield 024C,E01001462,338,51,31,108,528
2021,Enfield 031A,E01001463,301,87,26,98,512
2021,Enfield 027E,E01001464,258,80,20,63,421
2021,Enfield 031B,E01001465,272,106,41,84,503
2021,Enfield 031C,E01001466,347,104,58,114,623
2021,Enfield 031D,E01001467,380,106,74,105,665
2021,Enfield 010B,E01001468,494,33,11,37,575
2021,Enfield 008A,E01001469,562,64,14,31,671
2021,Enfield 013B,E01001470,568,42,13,27,650
2021,Enfield 010C,E01001471,818,51,24,73,966
2021,Enfield 010D,E01001472,642,45,10,59,756
2021,Enfield 013C,E01001473,459,51,12,24,546
2021,Enfield 010E,E01001474,746,47,14,53,860
2021,Enfield 013D,E01001475,525,75,6,31,637
2021,Enfield 018A,E01001476,359,115,38,99,611
2021,Enfield 018B,E01001477,361,128,38,83,610
2021,Enfield 016B,E01001478,411,80,30,52,573
2021,Enfield 023A,E01001479,351,89,41,161,642
2021,Enfield 024D,E01001480,382,71,27,98,578
2021,Enfield 018C,E01001481,348,100,30,80,558
2021,Enfield 023B,E01001482,359,112,48,137,656
2021,Enfield 025A,E01001483,319,49,20,144,532
2021,Enfield 016C,E01001484,343,70,21,66,500
2021,Enfield 025B,E01001485,376,116,44,129,665
2021,Enfield 025C,E01001486,478,95,57,174,804
2021,Enfield 023C,E01001487,387,105,44,134,670
2021,Enfield 024E,E01001488,389,110,46,120,665
2021,Enfield 023D,E01001489,392,91,48,124,655
2021,Enfield 023E,E01001491,423,107,39,125,694
2021,Enfield 025E,E01001492,415,110,29,112,666
2021,Enfield 026B,E01001493,506,86,35,104,731
2021,Enfield 026C,E01001494,337,79,22,63,501
2021,Enfield 029A,E01001495,475,73,30,144,722
2021,Enfield 026D,E01001496,425,89,28,99,641
2021,Enfield 031E,E01001497,311,80,24,93,508
2021,Enfield 029B,E01001498,432,73,30,162,697
2021,Enfield 031F,E01001499,325,110,18,82,535
2021,Enfield 035D,E01001500,343,78,21,109,551
2021,Enfield 036E,E01001501,575,122,42,183,922
2021,Enfield 018D,E01001502,414,122,34,89,659
2021,Enfield 018E,E01001503,402,108,42,94,646
2021,Enfield 012B,E01001504,307,154,38,63,562
2021,Enfield 012C,E01001505,329,150,41,77,597
2021,Enfield 012D,E01001507,428,171,57,155,811
2021,Enfield 012E,E01001508,467,121,67,128,783
2021,Enfield 014C,E01001509,378,100,53,115,646
2021,Enfield 016D,E01001511,495,87,29,59,670
2021,Enfield 015D,E01001512,739,76,43,134,992
2021,Enfield 012F,E01001513,499,106,42,77,724
2021,Enfield 016E,E01001514,513,69,23,63,668
2021,Enfield 015E,E01001515,476,103,48,117,744
2021,Enfield 005D,E01001516,468,92,36,72,668
2021,Enfield 006C,E01001517,406,135,48,97,686
2021,Enfield 016F,E01001518,518,65,24,53,660
2021,Enfield 019A,E01001520,497,84,28,86,695
2021,Enfield 028A,E01001521,509,74,33,67,683
2021,Enfield 019B,E01001522,577,59,33,78,747
2021,Enfield 019C,E01001523,572,61,23,67,723
2021,Enfield 019D,E01001524,401,77,12,59,549
2021,Enfield 020E,E01001525,541,100,27,92,760
2021,Enfield 019E,E01001526,493,63,19,61,636
2021,Enfield 036F,E01001527,538,114,19,113,784
2021,Enfield 032B,E01001528,445,92,43,104,684
2021,Enfield 032C,E01001529,384,100,38,131,653
2021,Enfield 032D,E01001530,418,105,25,70,618
2021,Enfield 028B,E01001531,455,42,5,28,530
2021,Enfield 028C,E01001532,534,64,13,53,664
2021,Enfield 028D,E01001533,404,94,5,37,540
2021,Enfield 032E,E01001534,399,89,22,93,603
2021,Enfield 028E,E01001535,347,79,9,62,497
2021,Enfield 008B,E01001536,701,65,14,68,848
2021,Enfield 005E,E01001537,582,42,25,40,689
2021,Enfield 009A,E01001538,540,33,7,17,597
2021,Enfield 009B,E01001539,558,50,9,22,639
2021,Enfield 008C,E01001540,667,59,18,55,799
2021,Enfield 008D,E01001541,594,25,9,16,644
2021,Enfield 008E,E01001542,521,53,23,58,655
2021,Enfield 009C,E01001543,502,45,10,27,584
2021,Enfield 009D,E01001544,516,60,8,55,639
2021,Enfield 002B,E01001545,454,97,38,75,664
2021,Enfield 001C,E01001546,447,86,29,49,611
2021,Enfield 002C,E01001547,482,102,30,110,724
2021,Enfield 002D,E01001548,469,89,40,76,674
2021,Enfield 006D,E01001549,532,105,53,123,813
2021,Enfield 006E,E01001550,396,81,40,60,577
2021,Enfield 002E,E01001551,473,79,26,62,640
2021,Enfield 001D,E01001552,482,74,30,76,662
2021,Enfield 037B,E01001553,284,121,39,102,546
2021,Enfield 037C,E01001554,367,134,56,131,688
2021,Enfield 033C,E01001555,446,107,60,157,770
2021,Enfield 035E,E01001556,335,104,19,75,533
2021,Enfield 033D,E01001557,340,86,35,88,549
2021,Enfield 033E,E01001558,288,123,53,141,605
2021,Enfield 033F,E01001559,392,113,48,123,676
2021,Enfield 035F,E01001560,277,114,16,105,512
2021,Enfield 037D,E01001562,438,111,52,222,823
2021,Enfield 029C,E01001563,494,65,30,111,700
