date,geography,geography code,Multiple main languages in household: All household members have the same main language,Multiple main languages in household: Any other combination of multiple main languages,"Multiple main languages in household: Main language differs between generations, but not within partnerships",Multiple main languages in household: Main language differs within partnerships,Multiple main languages in household: One-person household,Multiple main languages in household: Total: All households
2021,Croydon 013F,E01001116,347,26,33,26,174,606
2021,Croydon 020E,E01001118,478,32,42,28,300,880
2021,Croydon 034G,E01001119,407,6,6,11,149,579
2021,Croydon 033A,E01001120,365,9,15,7,108,504
2021,Croydon 039D,E01001121,399,6,3,10,122,540
2021,Croydon 033B,E01001122,346,20,14,10,69,459
2021,Croydon 033C,E01001123,452,14,8,18,110,602
2021,Croydon 033D,E01001124,432,9,9,15,138,603
2021,Croydon 033E,E01001125,419,17,19,17,138,610
2021,Croydon 034H,E01001126,401,10,12,14,159,596
2021,Croydon 025A,E01001127,435,6,18,18,108,585
2021,Croydon 025B,E01001128,398,11,39,17,103,568
2021,Croydon 026D,E01001129,395,11,9,12,79,506
2021,Croydon 025C,E01001130,362,29,62,16,88,557
2021,Croydon 018C,E01001131,391,11,25,16,215,658
2021,Croydon 018D,E01001132,453,12,14,18,143,640
2021,Croydon 026E,E01001133,423,14,18,14,261,730
2021,Croydon 018E,E01001134,391,17,17,28,225,678
2021,Croydon 025D,E01001135,436,23,7,15,157,638
2021,Croydon 007A,E01001136,453,27,28,49,427,984
2021,Croydon 001A,E01001137,527,15,13,54,362,971
2021,Croydon 001B,E01001138,393,17,14,27,268,719
2021,Croydon 007B,E01001139,411,21,28,26,228,714
2021,Croydon 007C,E01001140,411,13,27,32,277,760
2021,Croydon 008A,E01001141,294,16,22,22,218,572
2021,Croydon 007D,E01001142,479,23,25,28,192,747
2021,Croydon 008B,E01001143,447,25,28,28,297,825
2021,Croydon 007E,E01001144,405,34,31,23,309,802
2021,Croydon 008C,E01001145,428,19,45,28,353,873
2021,Croydon 006A,E01001146,367,25,18,17,180,607
2021,Croydon 005A,E01001147,388,26,35,21,200,670
2021,Croydon 005B,E01001148,413,26,22,18,226,705
2021,Croydon 006B,E01001149,378,17,36,21,171,623
2021,Croydon 006C,E01001150,420,17,18,38,145,638
2021,Croydon 005C,E01001151,363,38,37,27,207,672
2021,Croydon 005D,E01001152,410,48,59,31,243,791
2021,Croydon 006D,E01001153,381,32,27,22,154,616
2021,Croydon 006E,E01001154,440,37,35,34,181,727
2021,Croydon 010E,E01001155,357,27,41,21,339,785
2021,Croydon 001C,E01001156,382,25,27,36,250,720
2021,Croydon 002B,E01001157,398,35,34,29,127,623
2021,Croydon 005E,E01001158,369,24,32,21,224,670
2021,Croydon 002C,E01001159,425,36,37,39,207,744
2021,Croydon 002D,E01001160,391,54,34,30,117,626
2021,Croydon 003D,E01001161,339,42,47,23,101,552
2021,Croydon 001D,E01001162,456,13,39,31,263,802
2021,Croydon 002E,E01001163,496,26,37,34,243,836
2021,Croydon 001E,E01001164,525,19,27,38,381,990
2021,Croydon 024C,E01001165,410,33,32,40,210,725
2021,Croydon 024D,E01001166,407,24,43,34,368,876
2021,Croydon 028A,E01001167,528,39,55,32,167,821
2021,Croydon 024E,E01001168,431,37,30,34,202,734
2021,Croydon 028B,E01001169,396,26,32,24,160,638
2021,Croydon 047D,E01001170,408,27,35,35,390,895
2021,Croydon 028C,E01001171,346,25,42,24,244,681
2021,Croydon 028D,E01001172,438,33,53,34,171,729
2021,Croydon 028E,E01001173,643,23,65,35,357,1123
2021,Croydon 011A,E01001174,279,52,53,30,96,510
2021,Croydon 011B,E01001175,295,39,35,26,160,555
2021,Croydon 011C,E01001176,337,61,51,28,142,619
2021,Croydon 016C,E01001177,314,41,57,20,122,554
2021,Croydon 015D,E01001178,310,17,49,26,199,601
2021,Croydon 016D,E01001179,294,46,71,23,114,548
2021,Croydon 016E,E01001180,383,46,84,22,138,673
2021,Croydon 015E,E01001181,437,45,65,40,302,889
2021,Croydon 011D,E01001182,261,42,30,35,95,463
2021,Croydon 011E,E01001183,344,47,64,21,157,633
2021,Croydon 011F,E01001184,272,39,28,10,94,443
2021,Croydon 014B,E01001185,418,19,18,23,267,745
2021,Croydon 014C,E01001186,388,23,30,22,353,816
2021,Croydon 017E,E01001187,456,23,33,34,264,810
2021,Croydon 014D,E01001188,469,35,26,24,194,748
2021,Croydon 045B,E01001189,322,13,14,13,97,459
2021,Croydon 045C,E01001190,403,17,21,14,147,602
2021,Croydon 008D,E01001191,457,39,38,34,295,863
2021,Croydon 008E,E01001192,407,17,23,28,214,689
2021,Croydon 014E,E01001193,424,19,20,10,94,567
2021,Croydon 045D,E01001194,436,14,20,17,130,617
2021,Ealing 021A,E01001195,340,56,43,42,136,617
2021,Ealing 015A,E01001196,302,47,47,28,271,695
2021,Ealing 021B,E01001197,359,42,35,42,243,721
2021,Ealing 021C,E01001198,330,54,16,37,157,594
2021,Ealing 021D,E01001199,339,46,39,40,204,668
2021,Ealing 025A,E01001200,366,41,28,28,167,630
2021,Ealing 025B,E01001201,383,30,14,36,168,631
2021,Ealing 025C,E01001202,458,70,89,68,314,999
2021,Ealing 025D,E01001203,332,30,45,48,399,854
2021,Ealing 018A,E01001204,380,30,32,33,119,594
2021,Ealing 018B,E01001205,335,25,59,43,192,654
2021,Ealing 018C,E01001206,251,36,91,29,145,552
2021,Ealing 018D,E01001207,431,27,32,58,211,759
2021,Ealing 018E,E01001208,349,14,25,21,99,508
2021,Ealing 013A,E01001209,406,30,34,38,144,652
2021,Ealing 016A,E01001210,322,42,81,51,261,757
2021,Ealing 013B,E01001211,373,31,43,40,232,719
2021,Ealing 018F,E01001212,343,36,26,42,276,723
2021,Ealing 023A,E01001213,260,79,82,17,98,536
2021,Ealing 023B,E01001214,246,72,79,30,74,501
2021,Ealing 023C,E01001215,268,92,86,30,144,620
2021,Ealing 023D,E01001216,230,83,71,37,74,495
2021,Ealing 014A,E01001217,230,55,54,27,72,438
2021,Ealing 012A,E01001218,374,50,85,24,192,725
2021,Ealing 029A,E01001219,332,47,125,28,232,764
2021,Ealing 029B,E01001220,221,45,82,25,96,469
2021,Ealing 041B,E01001223,323,29,23,43,215,633
2021,Ealing 019B,E01001224,399,16,15,35,112,577
2021,Ealing 041A,E01001225,398,35,39,48,327,847
2021,Ealing 019C,E01001226,325,31,26,51,238,671
2021,Ealing 019D,E01001227,395,19,19,41,129,603
2021,Ealing 019E,E01001228,426,66,32,41,261,826
2021,Ealing 031A,E01001229,330,34,40,32,155,591
2021,Ealing 031B,E01001230,343,22,10,36,197,608
2021,Ealing 027A,E01001231,448,72,31,40,195,786
2021,Ealing 031C,E01001232,325,44,32,40,175,616
2021,Ealing 031D,E01001233,322,37,29,18,215,621
2021,Ealing 027B,E01001234,305,52,14,34,203,608
2021,Ealing 042D,E01001235,386,53,21,57,262,779
2021,Ealing 042C,E01001236,345,37,30,32,242,686
2021,Ealing 031E,E01001237,380,28,15,33,216,672
2021,Ealing 015C,E01001239,272,50,47,28,167,564
2021,Ealing 024A,E01001240,286,89,37,50,195,657
2021,Ealing 024B,E01001241,306,90,29,42,189,656
2021,Ealing 024C,E01001242,329,49,44,25,165,612
2021,Ealing 024D,E01001243,440,79,70,56,314,959
2021,Ealing 024E,E01001244,545,74,97,65,390,1171
2021,Ealing 024F,E01001245,490,45,42,61,283,921
2021,Ealing 015D,E01001246,321,41,37,36,380,815
2021,Ealing 015E,E01001247,391,85,75,52,210,813
2021,Ealing 035A,E01001248,345,32,31,27,131,566
2021,Ealing 028A,E01001249,487,53,96,68,388,1092
2021,Ealing 028B,E01001250,461,42,58,62,355,978
2021,Ealing 030A,E01001251,419,28,51,38,199,735
2021,Ealing 030B,E01001252,543,52,64,48,259,966
2021,Ealing 030C,E01001253,497,29,55,41,151,773
2021,Ealing 030D,E01001254,426,26,22,28,243,745
2021,Ealing 028C,E01001255,387,21,17,32,133,590
2021,Ealing 008A,E01001257,400,40,92,55,223,810
2021,Ealing 010B,E01001258,333,46,71,39,161,650
2021,Ealing 014B,E01001259,281,54,39,31,111,516
2021,Ealing 012B,E01001260,349,68,76,36,162,691
2021,Ealing 012C,E01001261,441,68,67,40,242,858
2021,Ealing 010C,E01001262,269,46,49,28,149,541
2021,Ealing 010D,E01001263,381,31,54,43,226,735
2021,Ealing 010E,E01001264,375,39,66,36,111,627
2021,Ealing 006A,E01001265,318,62,53,32,166,631
2021,Ealing 006B,E01001266,335,62,62,41,100,600
2021,Ealing 006C,E01001267,348,57,78,42,298,823
2021,Ealing 012D,E01001268,361,43,57,40,139,640
2021,Ealing 001A,E01001269,447,49,81,33,181,791
2021,Ealing 004A,E01001270,333,48,76,25,103,585
2021,Ealing 001B,E01001271,334,55,87,30,127,633
2021,Ealing 006D,E01001272,305,67,41,22,155,590
2021,Ealing 041C,E01001273,354,49,21,46,114,584
2021,Ealing 041E,E01001274,311,42,37,37,162,589
2021,Ealing 041D,E01001275,390,34,34,60,390,908
2021,Ealing 011A,E01001276,267,72,69,50,239,697
2021,Ealing 011B,E01001277,350,73,85,48,161,717
2021,Ealing 011C,E01001278,412,70,44,47,226,799
2021,Ealing 013C,E01001279,358,23,20,32,121,554
2021,Ealing 011D,E01001280,380,34,54,52,255,775
2021,Ealing 013D,E01001281,391,23,16,27,163,620
2021,Ealing 016B,E01001282,294,49,59,26,186,614
2021,Ealing 016C,E01001283,377,26,52,32,288,775
2021,Ealing 022A,E01001284,364,43,42,29,110,588
2021,Ealing 016D,E01001285,320,36,57,44,119,576
2021,Ealing 016E,E01001286,342,30,69,35,137,613
2021,Ealing 016F,E01001287,242,46,79,41,99,507
2021,Ealing 022B,E01001288,331,25,33,29,117,535
2021,Ealing 022C,E01001289,307,21,32,23,94,477
2021,Ealing 022D,E01001290,491,30,56,39,177,793
2021,Ealing 014C,E01001291,282,54,73,30,73,512
2021,Ealing 014D,E01001292,288,63,47,32,74,504
2021,Ealing 014E,E01001293,277,57,70,33,132,569
2021,Ealing 017A,E01001294,294,88,96,31,61,570
2021,Ealing 017B,E01001295,265,71,85,36,69,526
2021,Ealing 017C,E01001296,219,54,58,26,60,417
2021,Ealing 017D,E01001297,248,70,82,29,85,514
2021,Ealing 017E,E01001298,265,103,76,30,109,583
2021,Ealing 035B,E01001299,419,29,20,34,139,641
2021,Ealing 039A,E01001300,375,35,10,51,127,598
2021,Ealing 039B,E01001301,396,70,35,64,243,808
2021,Ealing 039C,E01001302,395,34,23,37,130,619
2021,Ealing 032A,E01001303,392,35,40,36,144,647
2021,Ealing 039D,E01001304,388,37,33,35,205,698
2021,Ealing 035C,E01001305,416,25,24,42,126,633
2021,Ealing 035D,E01001306,393,17,22,36,229,697
2021,Ealing 002A,E01001307,340,65,59,31,112,607
2021,Ealing 002B,E01001308,364,72,54,39,156,685
2021,Ealing 001C,E01001309,330,55,69,39,104,597
2021,Ealing 001D,E01001310,425,70,84,23,156,758
2021,Ealing 001E,E01001311,456,55,78,50,313,952
2021,Ealing 002C,E01001312,334,72,75,34,93,608
2021,Ealing 002D,E01001313,293,67,52,29,78,519
2021,Ealing 002E,E01001314,289,63,42,22,96,512
2021,Ealing 003A,E01001315,286,41,43,24,106,500
2021,Ealing 003B,E01001316,317,46,82,42,128,615
2021,Ealing 003C,E01001317,391,61,93,33,149,727
2021,Ealing 003D,E01001318,380,37,79,28,192,716
2021,Ealing 004B,E01001319,297,38,55,23,95,508
2021,Ealing 003E,E01001320,325,23,54,20,125,547
2021,Ealing 003F,E01001321,460,50,87,34,162,793
2021,Ealing 004C,E01001322,399,45,78,44,168,734
2021,Ealing 004D,E01001323,416,43,58,46,212,775
2021,Ealing 008B,E01001324,326,35,61,40,182,644
2021,Ealing 009A,E01001325,353,56,74,20,120,623
2021,Ealing 008C,E01001326,378,44,60,39,150,671
2021,Ealing 009B,E01001327,322,45,66,34,125,592
2021,Ealing 009C,E01001328,310,43,78,33,128,592
2021,Ealing 009D,E01001329,375,45,75,30,115,640
2021,Ealing 008D,E01001330,326,34,78,38,168,644
2021,Ealing 009E,E01001331,324,40,82,34,149,629
2021,Ealing 008E,E01001332,311,33,69,28,140,581
2021,Ealing 038A,E01001333,342,97,84,34,156,713
2021,Ealing 029C,E01001334,229,42,85,30,131,517
2021,Ealing 038B,E01001335,276,66,43,34,95,514
2021,Ealing 038C,E01001336,310,46,63,34,114,567
2021,Ealing 029D,E01001337,386,58,62,45,212,763
2021,Ealing 029E,E01001338,253,71,72,26,111,533
2021,Ealing 029F,E01001339,376,54,86,60,124,700
2021,Ealing 029G,E01001340,256,27,60,38,165,546
2021,Ealing 005A,E01001341,308,63,70,37,112,590
2021,Ealing 005B,E01001342,322,61,86,44,126,639
2021,Ealing 005C,E01001343,257,60,51,19,91,478
2021,Ealing 007A,E01001344,418,58,75,60,290,901
2021,Ealing 005D,E01001345,256,62,92,34,80,524
2021,Ealing 007B,E01001346,334,44,103,39,160,680
2021,Ealing 007C,E01001347,325,84,60,54,164,687
2021,Ealing 007D,E01001348,311,50,54,42,212,669
2021,Ealing 006E,E01001349,265,35,42,21,127,490
2021,Ealing 027C,E01001350,319,25,23,37,211,615
2021,Ealing 025E,E01001351,376,50,46,41,320,833
2021,Ealing 027D,E01001352,341,45,29,37,194,646
2021,Ealing 033A,E01001353,294,46,37,32,225,634
2021,Ealing 027E,E01001354,391,46,46,69,340,892
2021,Ealing 033B,E01001355,420,56,45,50,320,891
2021,Ealing 033C,E01001356,242,26,73,26,266,633
2021,Ealing 033D,E01001357,550,64,74,116,334,1138
2021,Ealing 033E,E01001358,410,36,65,65,245,821
2021,Ealing 026A,E01001359,282,101,107,37,94,621
2021,Ealing 026B,E01001360,284,94,82,30,63,553
2021,Ealing 023E,E01001361,297,86,84,39,100,606
2021,Ealing 026C,E01001362,311,130,94,42,139,716
2021,Ealing 026D,E01001363,234,89,95,43,68,529
2021,Ealing 026E,E01001364,206,79,92,27,146,550
2021,Ealing 026F,E01001365,278,134,104,38,123,677
2021,Ealing 044C,E01001366,258,80,97,42,87,564
2021,Ealing 043B,E01001367,422,83,78,35,129,747
2021,Ealing 044D,E01001368,215,86,75,31,63,470
2021,Ealing 038D,E01001369,291,85,65,37,74,552
2021,Ealing 044A,E01001370,297,103,62,37,71,570
2021,Ealing 044B,E01001371,314,89,104,35,77,619
2021,Ealing 043C,E01001372,364,94,90,47,101,696
2021,Ealing 043A,E01001373,282,83,78,45,97,585
2021,Ealing 040A,E01001374,432,36,39,56,339,902
2021,Ealing 034A,E01001375,458,22,20,40,167,707
2021,Ealing 040B,E01001376,371,26,35,36,266,734
2021,Ealing 034B,E01001377,413,27,14,33,209,696
2021,Ealing 034C,E01001379,450,19,20,41,186,716
2021,Ealing 040C,E01001380,560,33,39,91,336,1059
2021,Ealing 034D,E01001381,442,36,19,57,303,857
2021,Ealing 032B,E01001382,378,17,9,35,124,563
2021,Ealing 028D,E01001383,414,40,26,36,133,649
2021,Ealing 032C,E01001384,434,48,21,44,155,702
2021,Ealing 032D,E01001385,402,36,26,35,168,667
2021,Ealing 031F,E01001386,452,36,16,42,210,756
2021,Ealing 032E,E01001387,343,28,20,43,293,727
2021,Ealing 028E,E01001388,293,29,40,25,282,669
2021,Ealing 028F,E01001389,372,42,50,42,255,761
2021,Enfield 036A,E01001390,370,64,44,57,179,714
2021,Enfield 036B,E01001391,373,47,44,56,212,732
2021,Enfield 032A,E01001392,395,51,38,33,149,666
2021,Enfield 036C,E01001393,420,58,51,36,257,822
2021,Enfield 035A,E01001394,282,105,57,41,185,670
2021,Enfield 035B,E01001395,286,57,73,32,150,598
2021,Enfield 036D,E01001396,277,54,46,34,113,524
2021,Enfield 035C,E01001397,361,75,90,61,184,771
2021,Enfield 021A,E01001398,353,9,20,23,93,498
2021,Enfield 021B,E01001399,321,15,32,26,104,498
2021,Enfield 021C,E01001400,399,24,10,17,122,572
2021,Enfield 016A,E01001401,325,17,35,16,107,500
2021,Enfield 021D,E01001402,411,43,34,28,185,701
2021,Enfield 021E,E01001403,339,32,22,26,222,641
2021,Enfield 026A,E01001404,306,27,40,34,109,516
2021,Enfield 015A,E01001405,386,16,28,36,363,829
2021,Enfield 015B,E01001406,406,29,28,28,161,652
2021,Enfield 005A,E01001407,392,18,32,23,127,592
2021,Enfield 004A,E01001408,455,8,17,25,201,706
2021,Enfield 005B,E01001409,399,30,55,35,263,782
2021,Enfield 005C,E01001410,436,32,67,41,242,818
2021,Enfield 004B,E01001411,489,17,19,19,197,741
2021,Enfield 004C,E01001412,437,23,36,12,152,660
2021,Enfield 004D,E01001413,434,9,5,20,142,610
2021,Enfield 004E,E01001414,344,18,74,22,235,693
2021,Enfield 011A,E01001415,450,35,46,46,293,870
2021,Enfield 013A,E01001416,414,25,23,27,104,593
2021,Enfield 011B,E01001417,488,24,19,18,117,666
2021,Enfield 011C,E01001418,393,17,45,36,231,722
2021,Enfield 020A,E01001419,440,39,57,31,201,768
2021,Enfield 020B,E01001420,364,42,41,28,162,637
2021,Enfield 020C,E01001421,302,31,48,43,197,621
2021,Enfield 011D,E01001422,453,10,9,15,127,614
2021,Enfield 027A,E01001423,299,38,72,31,183,623
2021,Enfield 030A,E01001424,255,19,56,17,129,476
2021,Enfield 027B,E01001425,330,47,105,32,225,739
2021,Enfield 030B,E01001426,329,43,76,25,145,618
2021,Enfield 030C,E01001427,273,33,105,26,206,643
2021,Enfield 027C,E01001428,280,46,72,24,144,566
2021,Enfield 030D,E01001429,402,39,113,48,411,1013
2021,Enfield 030E,E01001430,318,53,111,31,136,649
2021,Enfield 033A,E01001431,296,60,71,28,199,654
2021,Enfield 033B,E01001432,303,53,77,17,283,733
2021,Enfield 007A,E01001433,363,35,68,15,95,576
2021,Enfield 007B,E01001434,316,29,54,28,112,539
2021,Enfield 007C,E01001435,309,33,52,21,70,485
2021,Enfield 007D,E01001436,395,48,84,20,104,651
2021,Enfield 014A,E01001437,439,28,118,41,267,893
2021,Enfield 007E,E01001438,327,31,62,31,97,548
2021,Enfield 006A,E01001439,398,51,106,38,175,768
2021,Enfield 012A,E01001440,309,37,61,26,142,575
2021,Enfield 006B,E01001441,304,24,77,17,199,621
2021,Enfield 002A,E01001442,318,35,78,27,180,638
2021,Enfield 001A,E01001444,396,45,55,23,130,649
2021,Enfield 003B,E01001445,604,32,102,48,353,1139
2021,Enfield 001B,E01001446,400,57,55,29,165,706
2021,Enfield 003C,E01001447,429,35,50,22,204,740
2021,Enfield 003D,E01001448,375,31,73,27,159,665
2021,Enfield 003E,E01001449,334,31,42,29,105,541
2021,Enfield 015C,E01001450,578,31,68,45,391,1113
2021,Enfield 017A,E01001451,420,21,27,22,203,693
2021,Enfield 017B,E01001452,356,14,8,21,83,482
2021,Enfield 017C,E01001453,441,19,12,18,158,648
2021,Enfield 017D,E01001454,423,18,17,34,173,665
2021,Enfield 021F,E01001455,358,18,20,26,140,562
2021,Enfield 022A,E01001456,371,15,9,16,80,491
2021,Enfield 010A,E01001457,437,12,16,36,344,845
2021,Enfield 037A,E01001458,300,48,86,40,167,641
2021,Enfield 024A,E01001459,291,48,71,39,109,558
2021,Enfield 024B,E01001460,335,63,72,32,171,673
2021,Enfield 027D,E01001461,279,37,62,25,224,627
2021,Enfield 024C,E01001462,294,29,46,16,143,528
2021,Enfield 031A,E01001463,300,40,52,34,86,512
2021,Enfield 027E,E01001464,222,41,50,21,88,422
2021,Enfield 031B,E01001465,260,51,68,32,90,501
2021,Enfield 031C,E01001466,319,68,76,29,131,623
2021,Enfield 031D,E01001467,361,52,102,33,114,662
2021,Enfield 010B,E01001468,352,9,17,26,171,575
2021,Enfield 008A,E01001469,421,25,26,30,169,671
2021,Enfield 013B,E01001470,438,12,21,24,157,652
2021,Enfield 010C,E01001471,470,16,32,33,414,965
2021,Enfield 010D,E01001472,438,14,15,35,254,756
2021,Enfield 013C,E01001473,377,13,24,28,104,546
2021,Enfield 010E,E01001474,500,14,20,32,294,860
2021,Enfield 013D,E01001475,452,26,19,37,103,637
2021,Enfield 018A,E01001476,329,40,83,36,122,610
2021,Enfield 018B,E01001477,313,59,81,37,122,612
2021,Enfield 016B,E01001478,326,34,48,30,133,571
2021,Enfield 023A,E01001479,310,46,66,36,184,642
2021,Enfield 024D,E01001480,295,34,52,29,168,578
2021,Enfield 018C,E01001481,311,42,57,32,115,557
2021,Enfield 023B,E01001482,329,39,91,43,155,657
2021,Enfield 025A,E01001483,245,15,44,22,207,533
2021,Enfield 016C,E01001484,289,34,39,25,112,499
2021,Enfield 025B,E01001485,296,40,107,25,197,665
2021,Enfield 025C,E01001486,418,40,90,44,212,804
2021,Enfield 023C,E01001487,333,48,85,28,172,666
2021,Enfield 024E,E01001488,332,49,85,32,166,664
2021,Enfield 023D,E01001489,330,53,76,29,167,655
2021,Enfield 023E,E01001491,362,43,89,32,167,693
2021,Enfield 025E,E01001492,378,48,68,30,138,662
2021,Enfield 026B,E01001493,377,38,57,37,222,731
2021,Enfield 026C,E01001494,305,44,46,19,88,502
2021,Enfield 029A,E01001495,415,42,33,46,187,723
2021,Enfield 026D,E01001496,358,58,50,35,141,642
2021,Enfield 031E,E01001497,277,27,53,29,120,506
2021,Enfield 029B,E01001498,400,45,35,48,169,697
2021,Enfield 031F,E01001499,278,54,51,29,123,535
2021,Enfield 035D,E01001500,304,54,41,36,116,551
2021,Enfield 036E,E01001501,418,48,77,82,296,921
2021,Enfield 018D,E01001502,351,43,86,36,144,660
2021,Enfield 018E,E01001503,356,36,91,31,129,643
2021,Enfield 012B,E01001504,273,81,84,34,90,562
2021,Enfield 012C,E01001505,280,68,102,29,118,597
2021,Enfield 012D,E01001507,306,66,119,58,263,812
2021,Enfield 012E,E01001508,404,48,107,41,184,784
2021,Enfield 014C,E01001509,312,42,84,36,174,648
2021,Enfield 016D,E01001511,398,36,54,29,151,668
2021,Enfield 015D,E01001512,523,23,58,50,338,992
2021,Enfield 012F,E01001513,396,42,78,33,174,723
2021,Enfield 016E,E01001514,417,24,36,39,152,668
2021,Enfield 015E,E01001515,363,38,87,42,214,744
2021,Enfield 005D,E01001516,401,52,57,33,126,669
2021,Enfield 006C,E01001517,314,46,120,26,180,686
2021,Enfield 016F,E01001518,388,25,36,33,176,658
2021,Enfield 019A,E01001520,376,56,37,27,200,696
2021,Enfield 028A,E01001521,436,28,48,42,128,682
2021,Enfield 019B,E01001522,425,12,52,35,225,749
2021,Enfield 019C,E01001523,419,28,29,38,209,723
2021,Enfield 019D,E01001524,326,27,39,33,124,549
2021,Enfield 020E,E01001525,405,43,50,47,212,757
2021,Enfield 019E,E01001526,373,32,25,33,174,637
2021,Enfield 036F,E01001527,420,68,40,43,213,784
2021,Enfield 032B,E01001528,335,39,72,39,200,685
2021,Enfield 032C,E01001529,280,69,56,32,216,653
2021,Enfield 032D,E01001530,330,48,55,41,146,620
2021,Enfield 028B,E01001531,365,24,9,20,112,530
2021,Enfield 028C,E01001532,401,32,19,37,175,664
2021,Enfield 028D,E01001533,344,42,25,34,92,537
2021,Enfield 032E,E01001534,356,52,45,33,119,605
2021,Enfield 028E,E01001535,303,39,26,32,99,499
2021,Enfield 008B,E01001536,498,25,31,29,266,849
2021,Enfield 005E,E01001537,430,13,31,30,185,689
2021,Enfield 009A,E01001538,459,7,13,21,97,597
2021,Enfield 009B,E01001539,425,17,22,22,152,638
2021,Enfield 008C,E01001540,464,29,25,26,254,798
2021,Enfield 008D,E01001541,412,6,8,19,199,644
2021,Enfield 008E,E01001542,375,13,40,28,200,656
2021,Enfield 009C,E01001543,425,22,16,21,101,585
2021,Enfield 009D,E01001544,422,17,17,36,146,638
2021,Enfield 002B,E01001545,357,30,75,35,167,664
2021,Enfield 001C,E01001546,379,35,56,27,112,609
2021,Enfield 002C,E01001547,411,39,78,36,164,728
2021,Enfield 002D,E01001548,391,22,76,36,149,674
2021,Enfield 006D,E01001549,440,54,91,18,209,812
2021,Enfield 006E,E01001550,348,34,66,29,100,577
2021,Enfield 002E,E01001551,361,24,65,20,168,638
2021,Enfield 001D,E01001552,423,40,50,21,132,666
2021,Enfield 037B,E01001553,256,79,61,33,118,547
2021,Enfield 037C,E01001554,285,49,122,28,203,687
2021,Enfield 033C,E01001555,431,52,80,55,158,776
2021,Enfield 035E,E01001556,300,50,50,31,103,534
2021,Enfield 033D,E01001557,320,38,71,24,95,548
2021,Enfield 033E,E01001558,305,56,101,34,110,606
2021,Enfield 033F,E01001559,369,57,84,34,132,676
2021,Enfield 035F,E01001560,281,48,64,33,84,510
2021,Enfield 037D,E01001562,429,43,85,42,225,824
2021,Enfield 029C,E01001563,391,32,36,43,196,698
2021,Enfield 022B,E01001564,416,15,17,24,167,639
2021,Enfield 029D,E01001565,393,34,25,29,224,705
2021,Enfield 029E,E01001566,404,28,21,25,149,627
2021,Enfield 022C,E01001567,401,11,15,20,161,608
2021,Enfield 022D,E01001568,388,53,16,22,91,570
2021,Enfield 022E,E01001569,450,19,23,29,232,753
2021,Enfield 026E,E01001570,433,36,36,28,191,724
2021,Greenwich 008A,E01001571,372,51,43,17,144,627
2021,Greenwich 008B,E01001572,401,35,21,36,158,651
2021,Greenwich 008C,E01001573,337,28,25,22,112,524
2021,Greenwich 008D,E01001574,406,19,44,18,264,751
2021,Greenwich 003A,E01001575,390,18,40,18,156,622
2021,Greenwich 003B,E01001576,402,23,45,25,175,670
2021,Greenwich 003C,E01001577,428,18,39,19,221,725
2021,Greenwich 003D,E01001578,507,53,45,33,209,847
2021,Greenwich 003E,E01001579,387,26,42,17,152,624
2021,Greenwich 021A,E01001580,432,9,15,57,277,790
2021,Greenwich 016A,E01001581,407,22,7,31,262,729
2021,Greenwich 021B,E01001582,348,27,16,25,242,658
2021,Greenwich 021C,E01001583,407,8,11,42,301,769
2021,Greenwich 021D,E01001584,394,9,11,38,212,664
2021,Greenwich 016B,E01001585,393,16,12,30,150,601
2021,Greenwich 016C,E01001586,337,12,19,30,264,662
2021,Greenwich 016D,E01001587,528,17,13,38,356,952
2021,Greenwich 012A,E01001588,340,35,28,27,208,638
2021,Greenwich 012B,E01001589,386,49,38,29,175,677
2021,Greenwich 014A,E01001590,405,36,22,36,217,716
2021,Greenwich 012C,E01001591,420,29,41,36,281,807
2021,Greenwich 014B,E01001592,463,43,20,39,170,735
2021,Greenwich 014C,E01001593,456,14,22,40,232,764
2021,Greenwich 014D,E01001594,422,66,73,33,240,834
2021,Greenwich 012D,E01001595,464,27,60,31,150,732
2021,Greenwich 032A,E01001596,468,15,16,24,115,638
2021,Greenwich 031A,E01001597,387,21,10,30,185,633
2021,Greenwich 031B,E01001598,393,23,24,27,138,605
2021,Greenwich 032B,E01001599,422,13,21,15,132,603
2021,Greenwich 032C,E01001600,387,17,16,17,202,639
2021,Greenwich 032D,E01001601,380,14,11,14,149,568
2021,Greenwich 031C,E01001602,474,23,33,25,162,717
2021,Greenwich 031D,E01001603,431,5,19,21,265,741
2021,Greenwich 027A,E01001604,376,22,14,36,151,599
2021,Greenwich 023A,E01001605,419,7,10,20,111,567
2021,Greenwich 023B,E01001606,451,10,16,24,107,608
2021,Greenwich 027B,E01001607,428,12,15,19,195,669
2021,Greenwich 027C,E01001608,367,8,8,18,182,583
2021,Greenwich 027D,E01001609,401,19,11,20,289,740
2021,Greenwich 023C,E01001610,467,14,17,39,168,705
2021,Greenwich 023D,E01001611,422,27,17,21,224,711
2021,Greenwich 028A,E01001613,409,23,17,25,325,799
2021,Greenwich 028B,E01001614,420,14,8,10,97,549
2021,Greenwich 028C,E01001615,445,30,25,48,393,941
2021,Greenwich 028D,E01001617,421,14,16,19,264,734
2021,Greenwich 030C,E01001618,505,10,15,37,193,760
2021,Greenwich 030D,E01001619,520,22,28,32,226,828
2021,Greenwich 025A,E01001620,330,33,19,31,90,503
2021,Greenwich 025B,E01001621,389,25,22,31,201,668
2021,Greenwich 025C,E01001623,437,23,31,35,143,669
