date,geography,geography code,National identity: Any other combination of only UK identities,National identity: Any other combination of only UK identities: Cornish and British only identity,National identity: Any other combination of only UK identities: Cornish only identity,National identity: Any other combination of only UK identities: Northern Irish and British only identity,National identity: Any other combination of only UK identities: Northern Irish only identity,National identity: Any other combination of only UK identities: Other,National identity: Any other combination of only UK identities: Scottish and British only identity,National identity: Any other combination of only UK identities: Scottish only identity,National identity: British only identity,National identity: English and British only identity,National identity: English only identity,National identity: Irish and at least one UK identity,National identity: Irish only identity,National identity: Non-UK identity only,National identity: Other identity and at least one UK identity,National identity: Other identity only,National identity: Total: All usual residents,National identity: UK identity and non-UK identity,National identity: Welsh and British only identity,National identity: Welsh only identity
2021,Bromley 034E,E01000768,15,0,0,1,3,3,1,7,868,197,332,2,10,58,18,48,1500,20,2,8
2021,Bromley 024A,E01000769,12,0,0,0,1,4,1,6,862,154,231,2,12,86,35,74,1388,37,1,5
2021,Bromley 012D,E01000770,26,0,0,2,2,6,6,10,902,170,238,5,22,132,35,110,1521,40,5,8
2021,Bromley 041C,E01000771,21,0,0,0,2,4,8,7,986,221,231,5,32,160,36,128,1667,41,3,4
2021,Bromley 012E,E01000772,16,0,0,0,4,2,3,7,890,193,272,7,35,150,46,115,1580,53,3,3
2021,Bromley 024B,E01000773,11,0,0,0,3,3,1,4,934,192,279,5,32,127,25,95,1586,30,7,6
2021,Bromley 041D,E01000774,20,0,0,0,0,6,4,10,917,138,223,10,31,149,44,118,1506,54,2,3
2021,Bromley 024C,E01000775,16,0,1,2,0,2,4,7,1440,252,295,12,41,193,67,152,2286,79,5,6
2021,Bromley 024D,E01000777,15,0,0,1,2,2,2,8,1000,177,260,1,13,115,56,102,1633,57,1,8
2021,Bromley 024E,E01000778,18,0,0,0,0,6,5,7,937,225,288,2,26,121,28,95,1628,30,2,7
2021,Bromley 001A,E01000779,8,0,0,0,0,1,3,4,825,144,204,2,13,161,47,148,1399,49,4,4
2021,Bromley 001B,E01000780,5,0,0,0,0,1,1,3,950,185,227,0,10,192,50,182,1611,50,1,1
2021,Bromley 001C,E01000781,9,0,0,0,0,0,4,5,888,180,264,1,9,187,42,178,1571,43,0,0
2021,Bromley 001D,E01000782,8,0,0,0,2,0,2,4,892,151,242,3,4,216,32,212,1546,35,1,1
2021,Bromley 001E,E01000783,9,0,0,0,0,3,0,6,941,182,244,4,12,199,45,187,1625,49,0,1
2021,Bromley 002E,E01000784,9,0,0,0,0,3,2,4,907,185,254,3,10,140,52,130,1554,55,2,2
2021,Bromley 001F,E01000785,9,0,0,0,1,1,2,5,902,138,286,4,9,198,37,189,1577,41,1,2
2021,Bromley 032A,E01000786,14,0,0,1,4,1,4,4,823,179,290,2,17,104,47,87,1463,49,2,2
2021,Bromley 029C,E01000787,11,0,0,0,0,2,3,6,761,222,334,4,6,129,20,123,1483,24,1,1
2021,Bromley 029D,E01000788,15,0,0,1,4,6,1,3,945,166,281,1,19,150,56,131,1620,57,1,5
2021,Bromley 032B,E01000789,8,0,0,1,0,2,2,3,1093,243,281,2,2,198,48,196,1874,50,0,1
2021,Bromley 028C,E01000790,24,0,0,2,5,3,5,9,1143,283,298,0,14,468,79,454,2300,79,1,4
2021,Bromley 029E,E01000791,10,0,1,0,0,1,4,4,845,187,319,1,12,91,57,79,1512,58,2,0
2021,Bromley 032C,E01000792,15,0,0,1,4,1,0,9,888,158,237,1,1,157,51,156,1507,52,0,0
2021,Bromley 032D,E01000793,12,0,0,1,2,2,2,5,861,183,334,2,12,108,51,96,1560,53,1,8
2021,Bromley 035E,E01000794,12,0,0,0,2,0,3,7,900,198,300,6,16,79,40,63,1544,46,3,6
2021,Bromley 032E,E01000795,8,0,0,0,1,0,1,6,757,200,284,8,9,75,47,66,1385,55,0,6
2021,Bromley 009C,E01000796,2,0,0,0,0,0,0,2,1026,103,132,3,10,219,50,209,1535,53,0,0
2021,Bromley 013E,E01000797,28,0,0,2,2,7,9,8,962,193,183,8,24,211,59,187,1656,67,5,7
2021,Bromley 009D,E01000798,18,0,0,3,7,3,2,3,900,131,145,6,17,266,53,249,1527,59,1,7
2021,Bromley 004A,E01000799,21,0,1,0,3,3,3,11,1033,185,153,8,35,341,60,306,1804,68,0,3
2021,Bromley 009E,E01000800,16,0,0,2,3,2,2,7,980,128,136,3,6,320,75,314,1665,78,3,4
2021,Bromley 015E,E01000801,9,0,1,2,1,1,1,3,892,137,182,5,11,218,70,207,1513,75,0,0
2021,Bromley 004B,E01000802,28,0,0,2,4,3,9,10,1123,184,158,4,47,244,84,197,1847,88,4,18
2021,Bromley 004C,E01000803,23,0,0,1,5,7,4,6,973,192,137,1,18,206,65,188,1610,66,3,10
2021,Bromley 004D,E01000804,22,0,0,3,5,4,3,7,961,92,156,4,29,174,55,145,1470,59,3,3
2021,Bromley 004E,E01000805,25,0,0,0,1,7,4,13,1020,134,188,6,16,238,76,222,1697,82,3,7
2021,Bromley 009F,E01000806,14,0,0,2,5,4,0,3,996,142,117,5,8,365,70,357,1714,75,4,1
2021,Bromley 022C,E01000807,10,0,0,0,1,2,4,3,981,177,287,2,13,150,55,137,1664,57,1,1
2021,Bromley 025A,E01000808,11,0,0,1,5,1,4,0,879,237,266,6,24,127,35,103,1562,41,1,0
2021,Bromley 022D,E01000809,7,0,0,0,2,1,2,2,840,226,342,2,10,78,38,68,1541,40,2,6
2021,Bromley 025B,E01000810,19,0,0,0,2,6,3,8,862,230,258,2,23,107,56,84,1541,58,4,3
2021,Bromley 025C,E01000811,11,0,0,2,0,3,3,3,712,175,270,1,14,136,59,122,1367,60,0,3
2021,Bromley 028D,E01000812,18,0,0,1,2,5,4,6,870,202,276,5,10,207,47,197,1631,52,2,4
2021,Bromley 025D,E01000813,11,0,0,0,3,3,4,1,863,219,287,9,12,118,54,106,1563,63,2,0
2021,Bromley 028E,E01000814,18,0,0,0,1,5,5,7,886,189,256,2,10,112,54,102,1522,56,4,1
2021,Bromley 025E,E01000815,31,0,0,0,2,9,10,10,878,210,268,5,29,82,28,53,1509,33,2,5
2021,Bromley 040A,E01000816,12,0,0,0,0,3,4,5,880,144,245,3,21,190,50,169,1525,53,1,0
2021,Bromley 040B,E01000818,22,0,0,0,2,0,5,15,986,162,307,1,16,162,41,146,1684,42,1,2
2021,Bromley 040C,E01000819,22,0,0,0,6,4,3,9,1060,194,247,1,15,244,78,229,1851,79,2,3
2021,Bromley 008C,E01000820,15,0,0,0,2,3,1,9,975,164,235,3,17,141,69,124,1612,72,4,6
2021,Bromley 008D,E01000822,22,0,0,1,1,3,7,10,975,156,206,3,13,214,53,201,1631,56,1,1
2021,Bromley 008E,E01000823,16,0,0,0,3,2,4,7,1068,184,181,2,20,179,53,159,1694,55,0,11
2021,Bromley 008F,E01000824,12,0,0,1,1,2,3,5,748,164,193,3,14,243,36,229,1404,39,1,4
2021,Bromley 008G,E01000825,15,0,0,2,1,3,3,6,879,224,216,1,11,250,67,239,1663,68,1,10
2021,Bromley 021A,E01000826,17,0,0,1,1,2,4,9,1058,197,238,4,16,81,38,65,1637,42,2,2
2021,Bromley 021B,E01000827,17,0,0,1,1,3,3,9,969,199,277,6,7,235,67,228,1781,73,3,8
2021,Bromley 011E,E01000828,19,0,2,1,1,0,8,7,1002,194,245,4,11,178,51,167,1704,55,4,7
2021,Bromley 018E,E01000829,13,0,1,0,2,0,4,6,930,181,240,2,22,299,94,277,1767,96,2,6
2021,Bromley 021C,E01000830,15,0,0,0,1,1,4,9,1108,200,185,1,10,73,35,63,1624,36,5,2
2021,Bromley 021D,E01000831,26,0,0,1,5,2,3,15,969,145,260,3,14,209,86,195,1702,89,1,3
2021,Bromley 030A,E01000832,12,0,0,0,2,2,3,5,947,227,250,4,12,94,35,82,1570,39,1,0
2021,Bromley 021E,E01000833,6,0,0,0,2,1,2,1,951,143,249,3,7,52,36,45,1445,39,1,4
2021,Bromley 027E,E01000834,11,0,0,1,2,0,1,7,811,185,264,1,10,71,26,61,1370,27,1,0
2021,Bromley 030B,E01000835,19,0,0,1,7,0,4,7,995,221,262,8,19,191,54,172,1755,62,3,2
2021,Bromley 030C,E01000836,11,0,0,2,2,1,2,4,861,184,229,3,13,71,24,58,1388,27,1,4
2021,Bromley 030D,E01000837,14,0,0,0,1,0,6,7,960,164,267,4,22,119,35,97,1570,39,3,4
2021,Bromley 030E,E01000838,7,0,0,0,1,0,1,5,881,170,277,2,7,59,29,52,1431,31,4,2
2021,Bromley 030F,E01000839,18,0,0,3,1,1,5,8,852,154,265,3,17,70,23,53,1391,26,1,5
2021,Bromley 030G,E01000840,20,0,1,0,3,3,4,9,847,177,363,1,20,54,19,34,1490,20,3,6
2021,Bromley 030H,E01000841,19,0,0,0,6,0,7,6,989,218,311,4,18,116,31,98,1692,35,1,3
2021,Camden 011A,E01000842,12,0,0,0,1,2,5,4,652,86,76,3,29,497,101,468,1432,104,2,3
2021,Camden 014A,E01000843,22,0,2,0,3,1,6,10,539,98,54,3,15,382,90,367,1200,93,3,9
2021,Camden 011B,E01000844,21,0,0,0,9,0,6,6,721,91,71,3,12,577,144,565,1639,147,5,6
2021,Camden 014B,E01000845,16,0,0,0,2,0,6,8,726,113,95,1,10,414,130,404,1499,131,1,3
2021,Camden 014C,E01000846,7,0,0,1,2,0,1,3,919,80,65,4,18,294,83,276,1454,87,0,2
2021,Camden 014D,E01000847,14,0,0,4,3,2,3,2,974,86,77,3,12,333,108,321,1601,111,0,6
2021,Camden 011C,E01000848,21,0,0,0,4,3,3,11,670,74,79,5,26,497,131,471,1485,136,4,4
2021,Camden 011D,E01000849,13,0,0,2,1,1,0,9,603,74,73,4,22,446,141,424,1359,145,2,3
2021,Camden 026A,E01000850,16,0,0,0,3,1,7,5,454,68,78,6,26,684,106,658,1424,112,6,6
2021,Camden 026B,E01000851,10,0,0,2,2,2,3,1,550,121,49,5,13,609,124,596,1477,129,1,8
2021,Camden 029H,E01000853,16,0,0,0,9,0,3,4,795,68,113,5,22,348,54,326,1404,59,1,4
2021,Camden 028A,E01000855,24,0,0,3,8,1,4,8,521,76,75,2,14,496,115,482,1314,117,2,3
2021,Camden 019A,E01000856,22,0,0,1,6,4,7,4,934,98,82,5,25,350,86,325,1593,91,6,10
2021,Camden 018A,E01000857,34,0,0,3,3,6,9,13,714,94,99,10,17,336,96,319,1388,106,2,3
2021,Camden 018B,E01000858,23,0,1,0,3,5,8,6,1164,129,129,6,34,394,79,360,1933,85,4,5
2021,Camden 018C,E01000859,26,0,0,2,7,1,7,9,704,119,100,3,25,406,96,381,1463,99,2,7
2021,Camden 018D,E01000860,20,0,0,0,2,3,5,10,604,71,70,1,42,306,52,264,1125,53,1,0
2021,Camden 019B,E01000861,21,0,0,3,5,5,1,7,685,97,84,3,39,378,91,339,1368,94,8,1
2021,Camden 018E,E01000862,26,0,0,3,6,5,4,8,863,107,107,5,28,442,124,414,1682,129,5,3
2021,Camden 021A,E01000863,21,0,0,0,1,3,2,15,676,95,71,4,23,497,104,474,1475,108,2,5
2021,Camden 009A,E01000866,29,0,0,1,8,3,7,10,1135,128,146,7,38,415,86,377,1952,93,3,3
2021,Camden 015C,E01000867,12,0,0,0,0,2,3,7,983,95,90,3,25,440,100,415,1734,103,3,8
2021,Camden 015D,E01000868,14,0,0,0,3,3,2,6,1131,100,96,4,22,332,68,310,1746,72,0,1
2021,Camden 015E,E01000869,37,0,0,3,9,7,9,9,1060,132,118,4,27,486,101,459,1946,105,3,5
2021,Camden 009B,E01000870,21,0,1,0,6,2,3,9,986,109,102,3,31,287,81,256,1598,84,2,7
2021,Camden 005A,E01000871,13,0,0,2,2,1,4,4,993,107,72,1,21,324,137,303,1657,138,5,5
2021,Camden 005B,E01000872,18,0,0,2,7,2,1,6,812,106,94,5,60,597,101,537,1740,106,1,6
2021,Camden 005C,E01000873,18,0,1,0,3,3,7,4,824,144,99,6,37,354,128,317,1578,134,1,4
2021,Camden 005D,E01000874,11,0,0,0,0,0,5,6,765,96,64,1,11,392,140,381,1477,141,3,5
2021,Camden 013A,E01000875,23,0,0,0,4,4,7,8,787,88,93,12,32,457,106,425,1571,118,0,5
2021,Camden 013B,E01000876,28,0,0,0,9,3,4,12,1136,113,93,4,48,463,79,415,1924,83,3,5
2021,Camden 005E,E01000877,11,0,0,1,5,2,2,1,729,93,72,3,20,432,111,412,1459,114,2,6
2021,Camden 004A,E01000878,15,0,0,1,4,4,2,4,862,92,90,1,24,528,121,504,1716,122,3,4
2021,Camden 004B,E01000879,12,0,1,2,0,7,0,2,552,85,76,4,14,479,92,465,1303,96,2,1
2021,Camden 004C,E01000880,15,0,0,1,1,3,5,5,623,58,69,2,7,517,122,510,1411,124,1,4
2021,Camden 008A,E01000881,12,0,0,0,0,4,2,6,632,61,51,2,19,497,126,478,1388,128,4,3
2021,Camden 008B,E01000882,23,0,0,2,8,1,6,6,617,93,78,4,17,503,131,486,1456,135,3,4
2021,Camden 008C,E01000883,9,0,0,0,0,4,1,4,619,87,62,3,24,624,103,600,1508,106,0,1
2021,Camden 004D,E01000884,17,0,0,0,5,2,6,4,864,70,54,6,18,358,100,340,1470,106,1,0
2021,Camden 004E,E01000885,15,0,0,1,3,0,5,6,680,75,75,1,10,333,98,323,1279,99,1,1
2021,Camden 006A,E01000886,19,0,1,2,2,3,5,6,722,125,110,8,19,225,114,206,1330,122,3,4
2021,Camden 006B,E01000887,23,0,0,0,1,5,4,13,686,86,87,5,28,390,100,362,1389,105,1,11
2021,Camden 006C,E01000888,27,0,0,0,4,11,3,9,875,99,95,5,16,276,84,260,1467,89,3,3
2021,Camden 007A,E01000889,18,0,0,2,2,3,2,9,1171,111,192,3,28,215,53,187,1769,56,2,4
2021,Camden 007B,E01000890,13,0,0,0,4,2,2,5,819,86,130,5,31,213,49,182,1317,54,2,0
2021,Camden 007C,E01000891,24,0,1,1,4,4,5,9,945,75,112,0,25,270,56,245,1486,56,1,3
2021,Camden 006D,E01000892,22,0,0,0,2,1,7,12,1041,125,94,6,22,395,104,373,1789,110,0,2
2021,Camden 002A,E01000893,28,0,0,0,6,6,7,9,702,95,71,4,19,348,121,329,1376,125,5,2
2021,Camden 002B,E01000894,21,0,0,3,6,4,1,7,600,93,72,6,18,367,107,349,1273,113,4,3
2021,Camden 002C,E01000895,25,0,1,0,1,5,10,8,766,97,98,5,30,439,121,409,1555,126,1,3
2021,Camden 002D,E01000896,7,0,0,0,0,1,3,3,749,113,61,4,17,371,126,354,1439,130,2,6
2021,Camden 008D,E01000897,20,0,0,0,3,7,4,6,776,92,53,4,11,445,162,434,1557,166,3,2
2021,Camden 008E,E01000898,22,0,1,0,6,2,3,10,746,85,111,5,37,515,100,478,1587,105,0,3
2021,Camden 002E,E01000899,16,0,0,0,2,2,4,8,856,94,81,1,11,400,96,389,1556,97,8,4
2021,Camden 012A,E01000900,33,0,0,1,7,2,6,17,979,127,157,4,26,294,84,268,1688,88,1,9
2021,Camden 007D,E01000901,13,0,1,2,3,5,1,1,1330,121,127,5,22,290,80,268,1969,85,1,2
2021,Camden 012B,E01000902,19,0,0,2,2,5,2,8,895,89,94,5,25,264,47,239,1415,52,0,2
2021,Camden 006E,E01000903,17,0,0,2,0,4,3,8,807,79,89,4,19,321,92,302,1413,96,1,3
2021,Camden 012C,E01000904,22,0,0,1,4,3,2,12,1188,134,171,4,38,439,101,401,2067,105,2,6
2021,Camden 012D,E01000905,16,0,2,2,3,5,1,3,1226,83,153,3,45,329,59,284,1875,62,1,5
2021,Camden 012E,E01000906,21,0,0,1,3,2,4,11,708,83,71,0,12,421,132,409,1441,132,2,3
2021,Camden 001A,E01000907,17,0,0,0,2,4,2,9,939,127,126,6,38,222,43,184,1484,49,1,3
2021,Camden 001B,E01000908,30,0,0,2,5,4,8,11,923,98,145,7,29,229,77,200,1522,84,1,12
2021,Camden 001C,E01000909,27,0,0,5,3,0,10,9,929,126,102,3,23,270,81,247,1551,84,4,9
2021,Camden 003A,E01000910,40,0,0,6,6,4,10,14,809,102,90,4,10,218,72,208,1339,76,2,2
2021,Camden 003B,E01000911,23,0,1,2,4,4,4,8,849,136,143,1,10,202,72,192,1438,73,7,5
2021,Camden 001D,E01000912,20,0,1,1,2,2,2,12,975,150,143,9,26,225,59,199,1586,68,1,4
2021,Camden 001E,E01000913,29,0,1,0,3,6,11,8,969,140,98,9,16,248,102,232,1604,111,3,6
2021,Camden 028B,E01000914,19,0,0,0,3,2,7,7,618,93,96,6,12,500,71,488,1418,77,4,11
2021,Camden 027A,E01000915,10,0,0,0,3,0,2,5,993,67,95,0,14,305,60,291,1534,60,2,2
2021,Camden 027B,E01000916,20,0,0,1,10,4,0,5,927,105,108,4,28,593,91,565,1854,95,3,3
2021,Camden 027C,E01000917,18,0,0,1,2,2,3,10,1090,63,115,3,28,279,79,251,1652,82,2,3
2021,Camden 028C,E01000918,27,0,0,2,7,8,5,5,825,98,100,8,25,635,85,610,1792,93,2,12
2021,Camden 028D,E01000919,20,0,0,1,0,4,4,11,668,90,114,1,11,476,68,465,1439,69,1,1
2021,Camden 027D,E01000920,40,0,0,2,5,7,11,15,785,90,103,3,24,466,121,442,1622,124,4,10
2021,Camden 003C,E01000921,28,0,0,0,4,6,5,13,1041,107,106,4,50,491,86,441,1878,90,5,10
2021,Camden 007E,E01000922,16,0,1,3,4,3,1,4,982,127,121,12,35,530,114,495,1916,126,4,10
2021,Camden 003D,E01000923,22,0,0,3,3,3,4,9,828,132,95,8,42,261,92,219,1447,100,4,5
2021,Camden 009C,E01000924,18,0,0,0,3,4,5,6,814,124,117,6,33,365,108,332,1569,114,9,8
2021,Camden 009D,E01000925,11,0,1,2,3,2,0,3,965,72,101,10,34,263,71,229,1494,81,0,1
2021,Camden 009E,E01000926,22,1,0,0,3,5,3,10,806,117,101,7,28,321,90,293,1472,97,2,6
2021,Camden 007F,E01000927,30,0,0,0,4,11,3,12,771,130,109,3,33,361,120,328,1532,123,4,4
2021,Camden 003E,E01000928,30,0,0,1,3,11,8,7,1007,140,104,13,45,320,85,275,1711,98,4,8
2021,Camden 020A,E01000929,5,0,0,0,0,0,2,3,1223,83,115,4,39,402,79,363,1913,83,0,2
2021,Camden 020B,E01000930,19,1,0,1,3,1,4,9,1063,91,107,7,40,690,103,650,2085,110,1,4
2021,Camden 013C,E01000931,13,0,3,0,2,0,5,3,1115,90,121,5,52,633,82,581,2061,87,1,1
2021,Camden 013D,E01000932,34,0,0,2,6,6,6,14,846,137,109,9,36,497,122,461,1761,131,4,3
2021,Camden 020C,E01000933,24,0,0,0,3,4,4,13,879,111,80,5,38,534,129,496,1774,134,6,6
2021,Camden 020D,E01000934,10,0,0,1,2,1,1,5,967,75,84,3,27,306,63,279,1513,66,2,3
2021,Camden 020E,E01000935,10,0,0,1,3,3,0,3,1013,62,97,4,25,346,62,321,1597,66,1,2
2021,Camden 029G,E01000937,5,0,0,1,0,0,2,2,431,51,37,2,14,507,76,493,1117,78,3,5
2021,Camden 029A,E01000938,17,1,0,0,4,4,4,4,735,55,68,2,22,424,64,402,1368,66,1,2
2021,Camden 029B,E01000939,15,0,0,0,3,1,2,9,852,57,43,4,15,422,52,407,1448,56,1,2
2021,Camden 029D,E01000941,20,0,2,0,1,6,3,8,759,42,68,6,19,249,42,230,1200,48,1,13
2021,Camden 029C,E01000942,12,0,1,1,2,2,3,3,475,62,56,1,10,348,55,338,1014,56,1,4
2021,Camden 029F,E01000943,17,0,0,2,4,4,6,1,561,115,73,5,18,684,114,666,1581,119,2,10
2021,Camden 023A,E01000944,17,0,1,1,0,0,5,10,919,56,101,7,7,312,51,305,1464,58,0,1
2021,Camden 021B,E01000946,26,0,0,3,1,6,8,8,880,95,78,4,9,392,68,383,1550,72,1,6
2021,Camden 021C,E01000947,25,0,0,1,1,4,7,12,785,122,106,3,26,528,91,502,1667,94,0,7
2021,Camden 021D,E01000948,17,0,0,0,3,3,3,8,825,114,114,0,21,331,121,310,1530,121,2,6
2021,Camden 023C,E01000949,18,0,0,2,6,0,0,10,921,89,145,6,24,342,73,318,1600,79,1,5
2021,Camden 023E,E01000951,3,0,0,0,1,0,0,2,1045,63,64,2,8,316,39,308,1539,41,3,4
2021,Camden 022A,E01000952,14,0,0,1,1,2,3,7,1088,90,103,1,16,308,82,292,1689,83,1,2
2021,Camden 022C,E01000954,7,0,0,0,0,0,0,7,1218,78,114,0,10,268,62,258,1750,62,3,0
2021,Camden 022D,E01000955,16,0,0,2,5,3,2,4,877,51,115,0,14,240,44,226,1348,44,1,4
2021,Camden 022E,E01000956,10,0,0,2,1,2,3,2,906,59,74,4,22,377,70,355,1504,74,0,4
2021,Camden 019C,E01000957,19,0,0,1,1,6,4,7,712,82,86,3,17,344,69,327,1321,72,2,4
2021,Camden 019D,E01000958,39,0,0,2,3,7,13,14,1418,193,144,7,16,974,156,958,2940,163,5,4
2021,Camden 019E,E01000959,10,0,0,0,3,2,1,4,1024,96,138,10,21,347,65,326,1692,75,2,0
2021,Camden 017A,E01000960,24,0,0,2,2,8,7,5,883,99,87,2,15,635,126,620,1865,128,3,6
2021,Camden 017B,E01000961,12,0,1,0,0,1,2,8,1038,77,103,1,4,452,103,448,1791,104,4,1
2021,Camden 016A,E01000962,18,0,1,2,4,5,2,4,673,97,63,2,23,533,149,510,1545,151,6,4
2021,Camden 017C,E01000963,10,0,0,2,5,0,2,1,800,61,38,0,6,888,121,882,1920,121,0,2
2021,Camden 016B,E01000964,40,1,4,0,6,4,7,18,904,85,118,5,35,465,116,430,1736,121,1,2
2021,Camden 016C,E01000965,14,0,0,0,3,2,1,8,815,114,109,3,32,520,134,488,1715,137,2,4
2021,Camden 016D,E01000966,27,0,2,1,9,1,4,10,712,80,61,2,21,558,172,537,1613,174,1,0
2021,Camden 017D,E01000967,14,0,0,0,4,2,2,6,817,71,74,1,22,452,104,430,1539,105,1,5
2021,Camden 016E,E01000968,25,0,0,0,8,3,8,6,692,125,77,6,35,420,113,385,1469,119,4,7
2021,Camden 010A,E01000969,20,0,0,2,1,3,5,9,848,158,74,4,27,536,177,509,1832,181,0,15
2021,Camden 010B,E01000970,25,0,0,3,0,3,8,11,661,120,74,4,30,418,93,388,1408,97,8,5
2021,Camden 010C,E01000971,16,0,0,0,1,6,3,6,682,115,85,7,10,312,95,302,1321,102,1,8
2021,Camden 010D,E01000972,14,0,0,0,1,2,4,7,1141,97,96,3,50,515,89,465,1961,92,3,3
2021,Camden 010E,E01000973,23,0,0,0,2,4,5,12,1288,196,125,15,56,759,147,703,2562,162,3,6
2021,Camden 013E,E01000974,24,0,0,0,8,3,5,8,855,93,99,8,46,426,82,380,1591,90,1,3
2021,Croydon 022A,E01000975,14,1,0,0,5,2,2,4,1251,170,174,6,19,628,91,609,2346,97,3,9
2021,Croydon 022B,E01000976,21,0,0,0,3,13,1,4,1121,145,168,2,22,603,83,581,2143,85,0,0
2021,Croydon 022C,E01000977,13,0,1,3,2,2,2,3,1090,109,157,2,17,497,69,480,1943,71,4,2
2021,Croydon 022D,E01000978,9,0,0,0,2,1,1,5,899,133,144,1,19,466,77,447,1734,78,1,4
2021,Croydon 022E,E01000979,18,0,1,1,4,2,1,9,942,122,119,6,16,474,74,458,1758,80,0,3
2021,Croydon 017A,E01000980,5,0,0,1,1,0,2,1,914,94,147,2,11,264,64,253,1494,66,2,2
2021,Croydon 017B,E01000981,11,0,1,2,1,0,2,5,1023,141,177,6,19,316,46,297,1732,52,6,6
2021,Croydon 017C,E01000982,14,0,0,3,3,0,2,6,982,134,176,1,9,295,77,286,1683,78,0,4
2021,Croydon 017D,E01000983,10,0,0,0,4,0,2,4,1059,141,167,2,20,351,84,331,1818,86,1,3
2021,Croydon 022F,E01000984,9,0,0,1,2,0,2,4,1169,113,133,2,9,417,60,408,1906,62,2,1
2021,Croydon 021A,E01000985,6,0,0,0,2,1,1,2,957,133,174,2,27,128,42,101,1452,44,1,9
2021,Croydon 021B,E01000986,25,0,0,1,9,1,4,10,1124,124,179,4,38,242,67,204,1773,71,3,5
2021,Croydon 021C,E01000987,10,0,0,1,3,0,1,5,823,127,191,3,16,154,48,138,1358,51,0,2
2021,Croydon 018A,E01000989,7,0,0,1,0,0,2,4,1100,175,263,0,23,152,36,129,1735,36,2,0
2021,Croydon 045A,E01000990,1,0,0,0,1,0,0,0,925,136,166,2,7,173,30,166,1436,32,2,1
2021,Croydon 018B,E01000991,14,0,0,1,2,1,1,9,1069,157,325,1,8,127,36,119,1737,37,2,6
2021,Croydon 014A,E01000992,11,0,0,1,3,5,0,2,1257,146,219,2,13,180,57,167,1875,59,2,1
2021,Croydon 021D,E01000993,7,0,0,1,0,1,0,5,1036,97,208,0,20,232,69,212,1651,69,0,2
2021,Croydon 009A,E01000994,6,0,1,0,2,2,0,1,1019,64,76,2,14,373,51,359,1591,53,0,0
2021,Croydon 009B,E01000995,3,0,0,0,2,0,0,1,1012,41,46,0,5,559,52,554,1714,52,0,1
2021,Croydon 009C,E01000996,4,0,0,1,1,2,0,0,880,39,57,1,9,294,50,285,1328,51,1,2
2021,Croydon 009D,E01000997,2,0,0,0,0,0,2,0,946,67,70,1,4,371,40,367,1500,41,1,2
2021,Croydon 010A,E01000998,7,0,0,0,0,3,2,2,894,45,94,0,7,403,49,396,1495,49,1,2
2021,Croydon 009E,E01000999,3,0,0,1,0,1,1,0,914,61,44,1,14,267,33,253,1323,34,0,0
2021,Croydon 010B,E01001000,10,0,0,0,0,6,0,4,818,47,38,0,1,400,27,399,1341,27,0,1
2021,Croydon 013A,E01001001,5,0,0,0,3,0,0,2,867,38,84,1,3,355,60,352,1410,61,0,0
2021,Croydon 009F,E01001002,4,0,0,0,1,0,1,2,937,46,48,3,4,380,55,376,1473,58,0,0
2021,Croydon 010C,E01001003,5,0,0,0,2,0,3,0,948,61,112,1,12,419,41,407,1588,42,1,0
2021,Croydon 015A,E01001004,5,0,0,0,0,2,1,2,1382,105,107,1,7,497,80,490,2177,81,0,0
2021,Croydon 019A,E01001005,1,0,0,0,1,0,0,0,1002,56,49,0,12,543,80,531,1733,80,1,1
2021,Croydon 016A,E01001006,2,0,0,1,1,0,0,0,1119,91,100,2,0,385,90,385,1792,92,3,0
2021,Croydon 016B,E01001007,2,0,0,0,0,0,0,2,1219,48,57,0,1,561,91,560,1983,91,2,3
2021,Croydon 019B,E01001008,2,0,0,0,1,0,1,0,1054,67,149,1,8,348,45,340,1668,46,1,1
2021,Croydon 019C,E01001009,17,0,0,1,0,13,1,2,1230,78,64,1,66,596,60,530,2049,61,0,3
2021,Croydon 019D,E01001010,7,0,0,0,0,2,1,4,1109,96,141,3,11,270,75,259,1701,78,0,0
2021,Croydon 019E,E01001011,4,0,0,0,0,0,4,0,1382,74,69,2,8,699,78,691,2311,80,3,0
2021,Croydon 020A,E01001012,16,0,0,0,0,13,0,3,1241,103,81,0,20,578,74,558,2094,74,0,1
2021,Croydon 020B,E01001013,6,0,0,0,2,0,1,3,1251,103,132,2,12,634,64,622,2194,66,0,2
2021,Croydon 041A,E01001015,15,0,0,0,5,2,2,6,962,172,211,3,7,92,26,85,1495,29,5,9
2021,Croydon 041B,E01001016,18,0,0,2,0,11,1,4,1100,168,273,4,8,149,42,141,1759,46,1,4
2021,Croydon 043A,E01001017,19,0,3,0,4,5,3,4,1041,182,244,5,10,101,52,91,1653,57,1,8
2021,Croydon 044A,E01001018,12,0,0,0,3,3,1,5,920,272,322,4,17,86,26,69,1648,30,1,5
2021,Croydon 044B,E01001019,22,0,0,0,1,6,5,10,922,169,226,4,13,68,37,55,1459,41,4,7
2021,Croydon 044C,E01001020,17,0,0,1,2,6,1,7,996,239,281,11,15,77,25,62,1653,36,3,4
2021,Croydon 044D,E01001021,13,0,0,0,3,5,0,5,785,180,229,5,6,103,40,97,1357,45,0,2
