date,geography,geography code,Length of residence in the UK: 10 years or more,"Length of residence in the UK: 2 years or more, but less than 5 years","Length of residence in the UK: 5 years or more, but less than 10 years",Length of residence in the UK: Born in the UK,Length of residence in the UK: Less than 2 years,Length of residence in the UK: Total: All usual residents
2021,Camden 001B,E01000908,340,48,48,1061,25,1522
2021,Camden 001C,E01000909,324,48,48,1090,39,1549
2021,Camden 003A,E01000910,215,46,51,991,37,1340
2021,Camden 003B,E01000911,298,34,30,1045,30,1437
2021,Camden 001D,E01000912,356,35,50,1110,34,1585
2021,Camden 001E,E01000913,289,56,61,1160,38,1604
2021,Camden 028B,E01000914,294,135,99,662,229,1419
2021,Camden 027A,E01000915,435,61,78,862,93,1529
2021,Camden 027B,E01000916,452,149,128,887,235,1851
2021,Camden 027C,E01000917,491,58,64,954,86,1653
2021,Camden 028C,E01000918,391,127,77,846,351,1792
2021,Camden 028D,E01000919,320,94,72,713,241,1440
2021,Camden 027D,E01000920,393,124,101,860,145,1623
2021,Camden 003C,E01000921,394,115,126,1165,75,1875
2021,Camden 007E,E01000922,351,115,122,1046,286,1920
2021,Camden 003D,E01000923,263,52,60,1024,48,1447
2021,Camden 009C,E01000924,261,99,104,1024,81,1569
2021,Camden 009D,E01000925,433,51,66,898,46,1494
2021,Camden 009E,E01000926,295,77,85,951,65,1473
2021,Camden 007F,E01000927,314,89,86,972,79,1540
2021,Camden 003E,E01000928,360,56,86,1157,54,1713
2021,Camden 020A,E01000929,620,97,129,999,70,1915
2021,Camden 020B,E01000930,659,195,184,859,189,2086
2021,Camden 013C,E01000931,588,143,195,1005,128,2059
2021,Camden 013D,E01000932,419,157,151,917,116,1760
2021,Camden 020C,E01000933,459,156,144,890,123,1772
2021,Camden 020D,E01000934,543,69,85,764,52,1513
2021,Camden 020E,E01000935,533,77,89,860,37,1596
2021,Camden 029G,E01000937,205,96,66,417,335,1119
2021,Camden 029A,E01000938,339,131,103,655,138,1366
2021,Camden 029B,E01000939,413,74,69,713,178,1447
2021,Camden 029D,E01000941,376,58,48,650,62,1194
2021,Camden 029C,E01000942,198,97,43,499,178,1015
2021,Camden 029F,E01000943,227,82,66,678,532,1585
2021,Camden 023A,E01000944,430,66,79,766,123,1464
2021,Camden 021B,E01000946,424,106,85,804,132,1551
2021,Camden 021C,E01000947,353,144,109,843,217,1666
2021,Camden 021D,E01000948,329,61,82,935,122,1529
2021,Camden 023C,E01000949,425,57,79,959,80,1600
2021,Camden 023E,E01000951,482,62,50,816,133,1543
2021,Camden 022A,E01000952,436,85,60,1009,101,1691
2021,Camden 022C,E01000954,524,47,54,1059,67,1751
2021,Camden 022D,E01000955,379,41,44,788,95,1347
2021,Camden 022E,E01000956,426,105,82,765,126,1504
2021,Camden 019C,E01000957,350,87,107,700,77,1321
2021,Camden 019D,E01000958,579,210,157,1487,507,2940
2021,Camden 019E,E01000959,434,94,57,958,148,1691
2021,Camden 017A,E01000960,474,172,186,849,186,1867
2021,Camden 017B,E01000961,527,128,152,875,109,1791
2021,Camden 016A,E01000962,381,180,160,703,119,1543
2021,Camden 017C,E01000963,438,304,191,640,347,1920
2021,Camden 016B,E01000964,442,122,161,923,82,1730
2021,Camden 016C,E01000965,407,144,183,873,112,1719
2021,Camden 016D,E01000966,372,173,187,782,101,1615
2021,Camden 017D,E01000967,395,122,116,774,132,1539
2021,Camden 016E,E01000968,302,136,154,783,93,1468
2021,Camden 010A,E01000969,436,175,206,892,122,1831
2021,Camden 010B,E01000970,298,121,152,746,91,1408
2021,Camden 010C,E01000971,269,83,105,805,61,1323
2021,Camden 010D,E01000972,531,157,131,991,149,1959
2021,Camden 010E,E01000973,546,246,222,1335,213,2562
2021,Camden 013E,E01000974,374,117,168,855,76,1590
2021,Croydon 022A,E01000975,524,182,228,1299,112,2345
2021,Croydon 022B,E01000976,517,129,237,1184,76,2143
2021,Croydon 022C,E01000977,450,115,139,1133,105,1942
2021,Croydon 022D,E01000978,418,136,141,940,96,1731
2021,Croydon 022E,E01000979,435,125,152,980,64,1756
2021,Croydon 017A,E01000980,338,49,96,968,44,1495
2021,Croydon 017B,E01000981,342,66,119,1174,29,1730
2021,Croydon 017C,E01000982,336,67,91,1150,39,1683
2021,Croydon 017D,E01000983,407,66,118,1184,44,1819
2021,Croydon 022F,E01000984,480,116,93,1150,66,1905
2021,Croydon 021A,E01000985,316,10,38,1078,10,1452
2021,Croydon 021B,E01000986,368,51,44,1271,38,1772
2021,Croydon 021C,E01000987,265,16,64,996,17,1358
2021,Croydon 018A,E01000989,337,16,29,1335,15,1732
2021,Croydon 045A,E01000990,340,27,46,1002,21,1436
2021,Croydon 018B,E01000991,381,10,29,1296,19,1735
2021,Croydon 014A,E01000992,428,39,59,1335,15,1876
2021,Croydon 021D,E01000993,313,46,88,1193,13,1653
2021,Croydon 009A,E01000994,488,70,87,861,85,1591
2021,Croydon 009B,E01000995,554,136,157,765,102,1714
2021,Croydon 009C,E01000996,446,59,104,693,28,1330
2021,Croydon 009D,E01000997,487,85,93,787,46,1498
2021,Croydon 010A,E01000998,523,88,93,741,48,1493
2021,Croydon 009E,E01000999,493,53,76,659,43,1324
2021,Croydon 010B,E01001000,455,75,115,635,58,1338
2021,Croydon 013A,E01001001,391,96,123,735,67,1412
2021,Croydon 009F,E01001002,454,64,133,736,84,1471
2021,Croydon 010C,E01001003,482,77,112,858,59,1588
2021,Croydon 015A,E01001004,653,107,149,1217,54,2180
2021,Croydon 019A,E01001005,606,103,176,735,114,1734
2021,Croydon 016A,E01001006,503,97,104,1040,43,1787
2021,Croydon 016B,E01001007,808,120,149,839,68,1984
2021,Croydon 019B,E01001008,551,47,89,946,35,1668
2021,Croydon 019C,E01001009,713,70,200,973,93,2049
2021,Croydon 019D,E01001010,470,57,89,1043,44,1703
2021,Croydon 019E,E01001011,767,154,201,1067,121,2310
2021,Croydon 020A,E01001012,619,117,189,1070,101,2096
2021,Croydon 020B,E01001013,614,151,190,1129,111,2195
2021,Croydon 041A,E01001015,224,14,25,1222,9,1494
2021,Croydon 041B,E01001016,309,10,61,1366,11,1757
2021,Croydon 043A,E01001017,181,15,15,1425,13,1649
2021,Croydon 044A,E01001018,172,13,22,1433,7,1647
2021,Croydon 044B,E01001019,164,11,21,1253,10,1459
2021,Croydon 044C,E01001020,184,9,9,1444,7,1653
2021,Croydon 044D,E01001021,201,11,29,1109,7,1357
2021,Croydon 044E,E01001022,181,10,25,1263,4,1483
2021,Croydon 041C,E01001023,524,84,112,1849,27,2596
2021,Croydon 043B,E01001024,181,6,34,1111,9,1341
2021,Croydon 043C,E01001025,144,11,14,1172,7,1348
2021,Croydon 043D,E01001026,187,8,26,1655,5,1881
2021,Croydon 043E,E01001027,504,54,184,2153,15,2910
2021,Croydon 038A,E01001028,399,16,27,1203,14,1659
2021,Croydon 038B,E01001029,385,52,96,1141,45,1719
2021,Croydon 038C,E01001030,305,23,32,1083,11,1454
2021,Croydon 038D,E01001031,256,14,44,1124,18,1456
2021,Croydon 035A,E01001032,235,16,38,1254,13,1556
2021,Croydon 031A,E01001033,348,69,106,1106,40,1669
2021,Croydon 031B,E01001034,286,67,93,1140,27,1613
2021,Croydon 047C,E01001035,452,93,171,1084,60,1860
2021,Croydon 029A,E01001036,365,37,56,1143,20,1621
2021,Croydon 029B,E01001037,309,63,103,1035,25,1535
2021,Croydon 029C,E01001038,417,61,120,1270,35,1903
2021,Croydon 029D,E01001039,278,26,52,1198,16,1570
2021,Croydon 029E,E01001040,353,90,79,1168,31,1721
2021,Croydon 031C,E01001041,383,72,119,1098,57,1729
2021,Croydon 024B,E01001042,550,136,218,1186,81,2171
2021,Croydon 023A,E01001044,608,134,186,1024,129,2081
2021,Croydon 023B,E01001046,544,213,223,831,116,1927
2021,Croydon 047A,E01001047,369,98,171,1006,90,1734
2021,Croydon 023C,E01001049,492,23,50,853,23,1441
2021,Croydon 023D,E01001050,450,114,166,857,128,1715
2021,Croydon 030A,E01001051,381,22,59,1140,2,1604
2021,Croydon 030B,E01001052,313,33,34,1073,13,1466
2021,Croydon 032A,E01001053,270,18,60,1242,10,1600
2021,Croydon 030C,E01001054,375,31,79,1366,8,1859
2021,Croydon 032B,E01001055,242,25,49,1239,11,1566
2021,Croydon 030D,E01001056,399,25,47,1323,14,1808
2021,Croydon 030E,E01001057,390,35,48,1294,24,1791
2021,Croydon 034A,E01001058,219,12,27,1093,5,1356
2021,Croydon 034B,E01001059,209,16,39,1164,24,1452
2021,Croydon 034C,E01001060,247,19,68,1271,15,1620
2021,Croydon 034D,E01001061,302,29,48,1223,19,1621
2021,Croydon 026A,E01001062,296,11,34,1163,7,1511
2021,Croydon 026B,E01001063,278,30,43,1167,16,1534
2021,Croydon 026C,E01001064,347,22,36,1175,21,1601
2021,Croydon 034E,E01001065,202,20,45,1044,14,1325
2021,Croydon 034F,E01001066,370,17,32,1028,7,1454
2021,Croydon 041D,E01001067,308,17,20,1296,13,1654
2021,Croydon 042A,E01001068,254,18,37,1520,7,1836
2021,Croydon 040A,E01001069,224,21,28,1085,10,1368
2021,Croydon 040B,E01001070,336,25,43,1361,18,1783
2021,Croydon 042B,E01001071,261,28,30,1564,14,1897
2021,Croydon 042C,E01001072,252,17,17,1188,10,1484
2021,Croydon 037A,E01001073,301,39,56,1022,21,1439
2021,Croydon 041E,E01001074,372,37,59,1443,37,1948
2021,Croydon 040C,E01001075,275,26,60,1241,26,1628
2021,Croydon 036A,E01001076,259,18,41,1331,17,1666
2021,Croydon 032C,E01001077,223,23,54,1019,12,1331
2021,Croydon 032D,E01001078,250,24,39,1121,14,1448
2021,Croydon 036B,E01001079,299,11,49,1242,12,1613
2021,Croydon 036C,E01001080,251,10,48,1162,10,1481
2021,Croydon 036D,E01001081,244,7,40,1175,8,1474
2021,Croydon 032E,E01001082,248,14,49,1229,9,1549
2021,Croydon 003A,E01001083,526,32,76,940,41,1615
2021,Croydon 002A,E01001084,558,67,80,1154,72,1931
2021,Croydon 004A,E01001085,627,72,143,827,38,1707
2021,Croydon 003B,E01001086,544,53,115,985,34,1731
2021,Croydon 003C,E01001087,845,154,288,1432,110,2829
2021,Croydon 004B,E01001088,504,57,92,982,42,1677
2021,Croydon 004C,E01001089,593,83,139,912,59,1786
2021,Croydon 004D,E01001090,688,114,189,1211,73,2275
2021,Croydon 004E,E01001091,521,72,77,857,47,1574
2021,Croydon 037B,E01001092,451,36,46,1375,24,1932
2021,Croydon 037C,E01001093,429,53,76,1205,30,1793
2021,Croydon 038E,E01001094,426,30,33,1138,18,1645
2021,Croydon 031D,E01001095,300,45,68,1084,33,1530
2021,Croydon 037D,E01001096,311,20,20,1116,11,1478
2021,Croydon 037E,E01001097,478,111,158,1573,69,2389
2021,Croydon 037F,E01001098,266,9,25,1158,12,1470
2021,Croydon 040D,E01001099,243,23,52,1237,26,1581
2021,Croydon 031E,E01001100,283,35,58,1122,14,1512
2021,Croydon 035B,E01001101,177,9,18,1225,3,1432
2021,Croydon 035C,E01001102,184,16,13,1281,22,1516
2021,Croydon 039A,E01001103,224,12,29,1363,4,1632
2021,Croydon 042D,E01001104,282,24,33,1322,12,1673
2021,Croydon 039B,E01001105,200,8,36,1481,12,1737
2021,Croydon 039C,E01001106,186,30,20,1258,9,1503
2021,Croydon 035D,E01001107,347,25,61,1217,17,1667
2021,Croydon 035E,E01001108,267,4,22,1490,3,1786
2021,Croydon 013B,E01001109,603,93,175,1412,67,2350
2021,Croydon 020D,E01001110,534,174,194,1168,79,2149
2021,Croydon 010D,E01001111,434,179,109,988,42,1752
2021,Croydon 013C,E01001112,539,49,139,1245,44,2016
2021,Croydon 013D,E01001113,484,69,183,1206,62,2004
2021,Croydon 013E,E01001114,438,50,102,875,48,1513
2021,Croydon 015B,E01001115,545,75,135,1004,62,1821
2021,Croydon 013F,E01001116,389,87,154,849,46,1525
2021,Croydon 020E,E01001118,635,85,138,1236,58,2152
2021,Croydon 034G,E01001119,158,3,10,1264,5,1440
2021,Croydon 033A,E01001120,207,11,32,1082,15,1347
2021,Croydon 039D,E01001121,198,6,10,1102,9,1325
2021,Croydon 033B,E01001122,294,19,26,994,106,1439
2021,Croydon 033C,E01001123,325,20,25,1232,12,1614
2021,Croydon 033D,E01001124,226,15,34,1280,11,1566
2021,Croydon 033E,E01001125,305,49,47,1232,13,1646
2021,Croydon 034H,E01001126,194,21,41,1155,7,1418
2021,Croydon 025A,E01001127,290,17,16,1295,10,1628
2021,Croydon 025B,E01001128,346,11,33,1182,30,1602
2021,Croydon 026D,E01001129,229,2,17,1140,4,1392
2021,Croydon 025C,E01001130,552,28,56,1100,28,1764
2021,Croydon 018C,E01001131,239,22,32,1266,12,1571
2021,Croydon 018D,E01001132,286,29,27,1260,18,1620
2021,Croydon 026E,E01001133,289,28,30,1228,16,1591
2021,Croydon 018E,E01001134,326,23,51,1189,23,1612
2021,Croydon 025D,E01001135,286,23,48,1295,30,1682
2021,Croydon 007A,E01001136,484,116,196,1172,71,2039
2021,Croydon 001A,E01001137,413,120,93,1474,31,2131
2021,Croydon 001B,E01001138,267,26,68,1119,33,1513
2021,Croydon 007B,E01001139,422,46,95,1102,34,1699
2021,Croydon 007C,E01001140,328,55,114,1108,27,1632
2021,Croydon 008A,E01001141,304,34,79,835,22,1274
2021,Croydon 007D,E01001142,445,49,77,1324,28,1923
2021,Croydon 008B,E01001143,483,51,134,1210,55,1933
2021,Croydon 007E,E01001144,484,70,105,1050,49,1758
2021,Croydon 008C,E01001145,506,69,124,1068,60,1827
2021,Croydon 006A,E01001146,430,49,82,941,27,1529
2021,Croydon 005A,E01001147,483,67,126,1073,29,1778
2021,Croydon 005B,E01001148,482,71,84,1087,37,1761
2021,Croydon 006B,E01001149,417,37,104,1008,21,1587
2021,Croydon 006C,E01001150,427,39,60,1146,33,1705
2021,Croydon 005C,E01001151,557,43,140,971,40,1751
2021,Croydon 005D,E01001152,695,139,176,953,99,2062
2021,Croydon 006D,E01001153,518,70,88,915,38,1629
2021,Croydon 006E,E01001154,567,98,170,1048,80,1963
2021,Croydon 010E,E01001155,627,74,109,914,67,1791
2021,Croydon 001C,E01001156,407,51,103,1170,41,1772
2021,Croydon 002B,E01001157,556,45,67,1141,43,1852
2021,Croydon 005E,E01001158,339,65,74,1025,27,1530
2021,Croydon 002C,E01001159,523,58,106,1217,40,1944
2021,Croydon 002D,E01001160,675,50,61,1123,39,1948
2021,Croydon 003D,E01001161,558,32,78,1042,29,1739
2021,Croydon 001D,E01001162,401,44,75,1269,24,1813
2021,Croydon 002E,E01001163,472,44,82,1343,32,1973
2021,Croydon 001E,E01001164,378,84,95,1382,41,1980
2021,Croydon 024C,E01001165,462,86,133,1116,49,1846
2021,Croydon 024D,E01001166,505,92,126,1200,45,1968
2021,Croydon 028A,E01001167,604,74,106,1475,66,2325
2021,Croydon 024E,E01001168,402,124,185,1081,25,1817
2021,Croydon 028B,E01001169,438,25,66,1284,18,1831
2021,Croydon 047D,E01001170,450,92,112,1236,52,1942
2021,Croydon 028C,E01001171,505,26,70,1119,38,1758
2021,Croydon 028D,E01001172,596,70,51,1459,30,2206
2021,Croydon 028E,E01001173,709,86,122,1777,46,2740
2021,Croydon 011A,E01001174,603,56,123,855,55,1692
2021,Croydon 011B,E01001175,531,111,119,789,89,1639
2021,Croydon 011C,E01001176,588,60,132,995,72,1847
2021,Croydon 016C,E01001177,579,47,129,812,82,1649
2021,Croydon 015D,E01001178,387,135,162,853,89,1626
2021,Croydon 016D,E01001179,580,51,128,830,75,1664
2021,Croydon 016E,E01001180,717,105,166,898,95,1981
2021,Croydon 015E,E01001181,686,80,148,1187,90,2191
2021,Croydon 011D,E01001182,523,69,94,623,48,1357
2021,Croydon 011E,E01001183,612,97,154,867,88,1818
2021,Croydon 011F,E01001184,457,53,74,674,41,1299
2021,Croydon 014B,E01001185,360,54,117,1131,40,1702
2021,Croydon 014C,E01001186,413,65,121,1056,27,1682
2021,Croydon 017E,E01001187,488,67,118,1262,51,1986
2021,Croydon 014D,E01001188,427,48,108,1329,45,1957
2021,Croydon 045B,E01001189,277,15,49,859,19,1219
2021,Croydon 045C,E01001190,343,46,51,1095,17,1552
2021,Croydon 008D,E01001191,527,87,144,1273,39,2070
2021,Croydon 008E,E01001192,425,45,94,1000,24,1588
2021,Croydon 014E,E01001193,465,29,49,1124,14,1681
2021,Croydon 045D,E01001194,328,44,76,1142,28,1618
2021,Ealing 021A,E01001195,516,216,149,748,195,1824
2021,Ealing 015A,E01001196,450,133,130,825,79,1617
2021,Ealing 021B,E01001197,465,296,150,730,214,1855
2021,Ealing 021C,E01001198,357,94,150,897,63,1561
2021,Ealing 021D,E01001199,474,128,171,824,66,1663
2021,Ealing 025A,E01001200,346,84,111,995,58,1594
2021,Ealing 025B,E01001201,326,69,118,1014,65,1592
2021,Ealing 025C,E01001202,737,219,232,1205,108,2501
2021,Ealing 025D,E01001203,527,137,172,798,54,1688
2021,Ealing 018A,E01001204,447,61,71,990,45,1614
2021,Ealing 018B,E01001205,524,64,142,1009,42,1781
2021,Ealing 018C,E01001206,550,76,107,829,17,1579
2021,Ealing 018D,E01001207,414,117,163,997,71,1762
2021,Ealing 018E,E01001208,362,31,45,900,22,1360
2021,Ealing 013A,E01001209,373,66,83,1128,33,1683
2021,Ealing 016A,E01001210,712,46,75,1011,42,1886
2021,Ealing 013B,E01001211,507,86,96,980,67,1736
2021,Ealing 018F,E01001212,506,99,115,986,61,1767
2021,Ealing 023A,E01001213,753,140,202,791,123,2009
2021,Ealing 023B,E01001214,761,107,137,670,70,1745
2021,Ealing 023C,E01001215,755,196,251,701,154,2057
2021,Ealing 023D,E01001216,625,165,174,707,80,1751
2021,Ealing 014A,E01001217,605,50,59,698,38,1450
2021,Ealing 012A,E01001218,817,79,164,925,73,2058
2021,Ealing 029A,E01001219,827,71,150,1099,47,2194
2021,Ealing 029B,E01001220,596,60,77,735,45,1513
2021,Ealing 041B,E01001223,331,105,128,739,151,1454
2021,Ealing 019B,E01001224,286,58,69,1123,23,1559
2021,Ealing 041A,E01001225,455,126,188,954,86,1809
2021,Ealing 019C,E01001226,449,110,103,773,78,1513
2021,Ealing 019D,E01001227,320,127,130,866,79,1522
2021,Ealing 019E,E01001228,438,199,200,822,175,1834
2021,Ealing 031A,E01001229,428,42,73,940,35,1518
2021,Ealing 031B,E01001230,289,61,100,835,84,1369
2021,Ealing 027A,E01001231,571,165,183,1038,88,2045
2021,Ealing 031C,E01001232,419,80,167,807,85,1558
2021,Ealing 031D,E01001233,386,69,90,839,59,1443
2021,Ealing 027B,E01001234,321,122,132,700,94,1369
2021,Ealing 042D,E01001235,433,185,195,800,162,1775
2021,Ealing 042C,E01001236,344,114,139,809,67,1473
2021,Ealing 031E,E01001237,315,89,109,982,68,1563
2021,Ealing 015C,E01001239,446,114,97,741,83,1481
2021,Ealing 024A,E01001240,531,227,219,672,175,1824
2021,Ealing 024B,E01001241,479,175,263,764,174,1855
2021,Ealing 024C,E01001242,428,79,156,875,85,1623
2021,Ealing 024D,E01001243,721,275,286,942,164,2388
2021,Ealing 024E,E01001244,924,243,309,1189,128,2793
2021,Ealing 024F,E01001245,655,100,161,1137,117,2170
2021,Ealing 015D,E01001246,546,127,170,848,136,1827
2021,Ealing 015E,E01001247,722,181,241,1009,116,2269
2021,Ealing 035A,E01001248,455,49,62,996,31,1593
2021,Ealing 028A,E01001249,709,188,292,1122,125,2436
2021,Ealing 028B,E01001250,635,128,165,1196,56,2180
2021,Ealing 030A,E01001251,427,74,116,1118,72,1807
2021,Ealing 030B,E01001252,694,159,249,1264,98,2464
2021,Ealing 030C,E01001253,477,76,144,1385,44,2126
2021,Ealing 030D,E01001254,378,41,82,1205,42,1748
2021,Ealing 028C,E01001255,350,56,62,1105,16,1589
2021,Ealing 008A,E01001257,730,87,144,1239,33,2233
2021,Ealing 010B,E01001258,682,75,153,919,47,1876
2021,Ealing 014B,E01001259,594,114,152,670,67,1597
2021,Ealing 012B,E01001260,775,99,179,910,76,2039
2021,Ealing 012C,E01001261,777,177,242,1042,83,2321
2021,Ealing 010C,E01001262,580,51,115,838,39,1623
2021,Ealing 010D,E01001263,658,83,138,1024,45,1948
2021,Ealing 010E,E01001264,615,66,102,1005,33,1821
2021,Ealing 006A,E01001265,608,102,174,791,48,1723
2021,Ealing 006B,E01001266,718,87,149,826,53,1833
2021,Ealing 006C,E01001267,742,94,161,976,62,2035
2021,Ealing 012D,E01001268,639,78,122,1092,32,1963
2021,Ealing 001A,E01001269,844,107,208,1011,100,2270
2021,Ealing 004A,E01001270,635,60,126,913,26,1760
2021,Ealing 001B,E01001271,719,64,148,939,53,1923
2021,Ealing 006D,E01001272,628,89,192,729,81,1719
2021,Ealing 041C,E01001273,530,164,146,751,84,1675
2021,Ealing 041E,E01001274,383,253,135,533,307,1611
2021,Ealing 041D,E01001275,405,171,197,909,119,1801
2021,Ealing 011A,E01001276,659,172,223,645,81,1780
2021,Ealing 011B,E01001277,698,165,241,832,105,2041
2021,Ealing 011C,E01001278,694,159,258,802,168,2081
2021,Ealing 013C,E01001279,444,59,51,894,43,1491
2021,Ealing 011D,E01001280,536,178,185,821,98,1818
2021,Ealing 013D,E01001281,317,71,81,1035,69,1573
2021,Ealing 016B,E01001282,596,31,60,908,21,1616
2021,Ealing 016C,E01001283,581,70,132,969,30,1782
2021,Ealing 022A,E01001284,523,60,96,1004,37,1720
2021,Ealing 016D,E01001285,539,83,123,977,47,1769
2021,Ealing 016E,E01001286,488,61,71,1014,35,1669
2021,Ealing 016F,E01001287,562,45,91,906,12,1616
2021,Ealing 022B,E01001288,365,60,88,931,31,1475
2021,Ealing 022C,E01001289,321,41,84,856,35,1337
2021,Ealing 022D,E01001290,604,99,160,1150,37,2050
2021,Ealing 014C,E01001291,696,72,167,772,56,1763
2021,Ealing 014D,E01001292,686,76,110,751,52,1675
2021,Ealing 014E,E01001293,741,121,141,751,73,1827
2021,Ealing 017A,E01001294,808,135,180,804,99,2026
2021,Ealing 017B,E01001295,788,80,120,755,52,1795
2021,Ealing 017C,E01001296,575,93,89,640,40,1437
2021,Ealing 017D,E01001297,704,124,160,750,97,1835
2021,Ealing 017E,E01001298,887,148,182,806,89,2112
2021,Ealing 035B,E01001299,390,60,60,1207,39,1756
2021,Ealing 039A,E01001300,358,72,82,1054,49,1615
2021,Ealing 039B,E01001301,484,172,244,884,102,1886
2021,Ealing 039C,E01001302,362,69,120,1015,37,1603
2021,Ealing 032A,E01001303,354,95,146,1054,76,1725
2021,Ealing 039D,E01001304,387,71,114,1057,28,1657
2021,Ealing 035C,E01001305,423,48,78,1157,23,1729
2021,Ealing 035D,E01001306,373,51,102,1081,30,1637
2021,Ealing 002A,E01001307,703,82,153,883,62,1883
2021,Ealing 002B,E01001308,797,122,173,776,72,1940
2021,Ealing 001C,E01001309,690,81,151,865,70,1857
2021,Ealing 001D,E01001310,697,168,224,971,80,2140
2021,Ealing 001E,E01001311,822,142,238,1229,87,2518
2021,Ealing 002C,E01001312,765,119,220,794,68,1966
2021,Ealing 002D,E01001313,654,86,132,787,66,1725
2021,Ealing 002E,E01001314,576,64,137,708,39,1524
2021,Ealing 003A,E01001315,534,89,79,698,67,1467
2021,Ealing 003B,E01001316,596,79,102,894,54,1725
2021,Ealing 003C,E01001317,791,107,181,1031,73,2183
2021,Ealing 003D,E01001318,705,49,130,1013,52,1949
2021,Ealing 004B,E01001319,514,80,118,786,51,1549
2021,Ealing 003E,E01001320,441,29,114,994,46,1624
2021,Ealing 003F,E01001321,797,93,197,1097,79,2263
2021,Ealing 004C,E01001322,723,86,169,1022,71,2071
2021,Ealing 004D,E01001323,669,132,217,872,124,2014
2021,Ealing 008B,E01001324,535,89,193,786,61,1664
2021,Ealing 009A,E01001325,652,56,74,1169,32,1983
2021,Ealing 008C,E01001326,617,56,137,1108,43,1961
2021,Ealing 009B,E01001327,653,69,169,967,38,1896
2021,Ealing 009C,E01001328,646,67,123,954,33,1823
2021,Ealing 009D,E01001329,642,70,111,1102,38,1963
2021,Ealing 008D,E01001330,639,55,114,997,52,1857
2021,Ealing 009E,E01001331,590,116,146,919,24,1795
2021,Ealing 008E,E01001332,574,67,84,833,36,1594
2021,Ealing 038A,E01001333,807,312,351,814,180,2464
2021,Ealing 029C,E01001334,639,68,111,773,76,1667
2021,Ealing 038B,E01001335,680,45,77,958,40,1800
2021,Ealing 038C,E01001336,630,90,222,800,99,1841
2021,Ealing 029D,E01001337,658,107,149,1126,83,2123
2021,Ealing 029E,E01001338,750,163,146,715,92,1866
2021,Ealing 029F,E01001339,798,81,139,1121,42,2181
2021,Ealing 029G,E01001340,477,62,91,867,66,1563
2021,Ealing 005A,E01001341,706,86,152,796,52,1792
2021,Ealing 005B,E01001342,815,112,189,703,77,1896
2021,Ealing 005C,E01001343,601,65,102,623,48,1439
2021,Ealing 007A,E01001344,888,154,216,945,86,2289
2021,Ealing 005D,E01001345,743,98,132,725,60,1758
2021,Ealing 007B,E01001346,815,101,149,865,26,1956
2021,Ealing 007C,E01001347,730,101,238,807,96,1972
2021,Ealing 007D,E01001348,632,82,139,763,52,1668
2021,Ealing 006E,E01001349,471,43,76,793,28,1411
2021,Ealing 027C,E01001350,413,113,127,714,72,1439
2021,Ealing 025E,E01001351,555,164,206,916,131,1972
2021,Ealing 027D,E01001352,386,134,160,776,128,1584
2021,Ealing 033A,E01001353,409,101,135,700,69,1414
2021,Ealing 027E,E01001354,600,165,185,980,126,2056
2021,Ealing 033B,E01001355,495,176,171,1026,89,1957
2021,Ealing 033C,E01001356,538,60,111,721,66,1496
2021,Ealing 033D,E01001357,824,149,223,1455,99,2750
2021,Ealing 033E,E01001358,549,130,196,1049,66,1990
2021,Ealing 026A,E01001359,890,237,301,842,194,2464
2021,Ealing 026B,E01001360,828,241,244,703,197,2213
2021,Ealing 023E,E01001361,706,269,365,715,221,2276
2021,Ealing 026C,E01001362,912,233,372,917,190,2624
2021,Ealing 026D,E01001363,758,181,218,695,139,1991
2021,Ealing 026E,E01001364,663,128,159,771,113,1834
2021,Ealing 026F,E01001365,1030,191,274,920,162,2577
2021,Ealing 044C,E01001366,731,200,256,752,111,2050
2021,Ealing 043B,E01001367,736,493,494,732,255,2710
2021,Ealing 044D,E01001368,679,159,187,643,98,1766
2021,Ealing 038D,E01001369,661,286,304,619,195,2065
2021,Ealing 044A,E01001370,724,291,255,753,147,2170
2021,Ealing 044B,E01001371,807,235,257,854,158,2311
2021,Ealing 043C,E01001372,779,307,430,867,172,2555
2021,Ealing 043A,E01001373,706,243,294,676,158,2077
2021,Ealing 040A,E01001374,416,106,122,1253,47,1944
2021,Ealing 034A,E01001375,361,90,110,1075,62,1698
2021,Ealing 040B,E01001376,473,95,115,956,67,1706
2021,Ealing 034B,E01001377,362,85,91,1035,68,1641
2021,Ealing 034C,E01001379,378,96,98,1099,65,1736
2021,Ealing 040C,E01001380,455,170,188,1366,130,2309
2021,Ealing 034D,E01001381,533,136,161,967,80,1877
2021,Ealing 032B,E01001382,310,38,58,1053,22,1481
2021,Ealing 028D,E01001383,447,65,90,1120,32,1754
2021,Ealing 032C,E01001384,399,78,156,1062,53,1748
2021,Ealing 032D,E01001385,324,107,113,1081,54,1679
2021,Ealing 031F,E01001386,342,123,103,1152,78,1798
2021,Ealing 032E,E01001387,328,122,136,903,46,1535
2021,Ealing 028E,E01001388,418,75,104,803,46,1446
2021,Ealing 028F,E01001389,474,97,146,920,186,1823
2021,Enfield 036A,E01001390,500,121,155,981,60,1817
2021,Enfield 036B,E01001391,522,152,211,806,90,1781
2021,Enfield 032A,E01001392,537,89,123,1054,63,1866
2021,Enfield 036C,E01001393,518,160,184,1028,80,1970
2021,Enfield 035A,E01001394,756,161,265,698,117,1997
2021,Enfield 035B,E01001395,546,61,124,830,72,1633
